"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0042119" "GO:0042119" "neutrophil activation" "246/3412" "498/18670" 9.02373840429432e-58 5.68495519470542e-54 4.4814734517327e-54 "TYROBP/SLC2A3/SDCBP/CXCR1/FCGR2A/NEU1/QPCT/CD300A/MNDA/LAMP2/FPR1/CMTM6/PTAFR/LRMP/SLC15A4/HEBP2/RAB24/OSTF1/LILRA2/CD63/S100A11/HSPA6/ASAH1/FCGR2B/DOK3/CYBA/BIN2/PYCARD/CTSS/IST1/CD53/RHOA/PSEN1/FPR2/PAFAH1B2/GCA/MME/SELL/RAB31/MMP9/RAC1/ARPC5/BRI3/ADAM8/FCGR3B/PLAUR/BST1/MAPK1/GLIPR1/PYGL/CXCR2/DEGS1/DYNC1LI1/CAB39/GOLGA7/SNAP23/RAB37/LRG1/DNAJC3/PRCP/TOM1/CAP1/GMFG/CFP/TLR2/APAF1/IMPDH1/CD93/STXBP3/AGPAT2/RHOG/CANT1/MVP/NPC2/TNFRSF1B/CPPED1/ADGRE3/CDA/DBNL/S100A9/ALOX5/CEACAM3/MMP25/KCMF1/YPEL5/PTPRC/MOSPD2/PGM2/RAB27A/LAMTOR1/SIRPA/ALDOA/PSMD13/SIGLEC9/DDX3X/ATP6AP2/SLC11A1/HSPA1A/CXCL1/PREX1/MAPK14/CD59/SERPINB1/HEXB/NIT2/DYNLT1/ADGRG3/ARHGAP9/DGAT1/FCER1G/ROCK1/FOLR3/ATP6V0A1/CPNE1/C5AR1/PGLYRP1/XRCC5/GLA/SIGLEC5/ADGRE5/ACTR2/CRISPLD2/CTSD/HMOX2/F2RL1/VAPA/CHI3L1/PGAM1/TCIRG1/ANPEP/FGL2/TMEM30A/CD55/TMBIM1/SLCO4C1/PGM1/RAB3D/SERPINA1/ANXA3/TCN1/SNAP29/SYK/PGRMC1/PECAM1/CKAP4/FCAR/NFAM1/RAB18/LAMTOR2/GRN/B2M/CXCL6/LAMTOR3/LAMP1/RAB10/LILRB3/GPI/ATP6V1D/VPS35L/CTSZ/CD14/IQGAP1/FGR/TNFAIP6/UNC13D/IGF2R/MGAM/KPNB1/DNAJC5/CFD/TUBB4B/SURF4/ARL8A/PSMD7/OSCAR/PSMD6/ACTR10/MS4A3/ACAA1/PTPN6/ADAM10/FTL/PLEKHO2/CD58/COTL1/SERPINB6/RAB5C/GNS/TBC1D10C/ATP11B/GSN/ARHGAP45/GSDMD/RAB4B/SPTAN1/PRKCD/CLEC5A/HUWE1/SLC27A2/SLC44A2/IL18/QSOX1/DYNC1H1/FCN1/CHIT1/GSTP1/DNASE1L1/CD44/PTPRJ/CTSA/HK3/GGH/VCP/RAB3A/GLB1/TIMP2/ITGB2/RAB7A/SIRPB1/RAP1A/DSN1/FRMPD3/GYG1/SLPI/ITGAM/LYZ/PADI2/TRAPPC1/IQGAP2/ARSA/CR1/ERP44/LPCAT1/PSAP/SCAMP1/P2RX1/BST2/LILRB2/NHLRC3/CSTB/IL18RAP/MAGT1/AGL/CD68/PTPRN2/CTSH" 246
"GO:0002446" "GO:0002446" "neutrophil mediated immunity" "244/3412" "499/18670" 3.08646895995462e-56 9.72237722385706e-53 7.66418976477153e-53 "TYROBP/SLC2A3/SDCBP/CXCR1/FCGR2A/NEU1/QPCT/CD300A/MNDA/LAMP2/FPR1/CMTM6/PTAFR/LRMP/SLC15A4/HEBP2/RAB24/OSTF1/CD63/S100A11/HSPA6/ASAH1/DOK3/CYBA/BIN2/PYCARD/CTSS/IST1/CD53/RHOA/PSEN1/FPR2/PAFAH1B2/GCA/MME/SELL/RAB31/MMP9/RAC1/ARPC5/BRI3/ADAM8/FCGR3B/PLAUR/BST1/MAPK1/GLIPR1/PYGL/CXCR2/DEGS1/DYNC1LI1/CAB39/GOLGA7/SNAP23/RAB37/LRG1/DNAJC3/PRCP/TOM1/CAP1/GMFG/CFP/TLR2/APAF1/IMPDH1/CD93/STXBP3/AGPAT2/RHOG/CANT1/MVP/NPC2/TNFRSF1B/CPPED1/ADGRE3/CDA/DBNL/S100A9/ALOX5/CEACAM3/MMP25/KCMF1/YPEL5/PTPRC/MOSPD2/PGM2/RAB27A/LAMTOR1/SIRPA/ALDOA/PSMD13/SIGLEC9/DDX3X/ATP6AP2/SLC11A1/HSPA1A/CXCL1/MAPK14/CD59/SERPINB1/HEXB/NIT2/DYNLT1/ADGRG3/ARHGAP9/DGAT1/FCER1G/ROCK1/FOLR3/ATP6V0A1/CPNE1/C5AR1/PGLYRP1/WDR1/XRCC5/GLA/SIGLEC5/ADGRE5/ACTR2/CRISPLD2/CTSD/HMOX2/F2RL1/VAPA/CHI3L1/PGAM1/TCIRG1/ANPEP/FGL2/TMEM30A/CD55/TMBIM1/SLCO4C1/PGM1/RAB3D/SERPINA1/ANXA3/TCN1/SNAP29/SYK/PGRMC1/PECAM1/CKAP4/FCAR/NFAM1/RAB18/LAMTOR2/TUSC2/GRN/B2M/CXCL6/LAMTOR3/LAMP1/RAB10/LILRB3/GPI/ATP6V1D/VPS35L/CTSZ/CD14/IQGAP1/FGR/TNFAIP6/UNC13D/IGF2R/MGAM/KPNB1/DNAJC5/CFD/TUBB4B/SURF4/ARL8A/PSMD7/OSCAR/PSMD6/ACTR10/MS4A3/ACAA1/PTPN6/ADAM10/FTL/PLEKHO2/CD58/COTL1/SERPINB6/RAB5C/GNS/TBC1D10C/ATP11B/GSN/ARHGAP45/GSDMD/RAB4B/SPTAN1/PRKCD/CLEC5A/HUWE1/SLC27A2/SLC44A2/QSOX1/DYNC1H1/FCN1/CHIT1/GSTP1/DNASE1L1/CD44/PTPRJ/CTSA/HK3/JAGN1/GGH/VCP/RAB3A/GLB1/TIMP2/ITGB2/RAB7A/SIRPB1/RAP1A/DSN1/FRMPD3/GYG1/SLPI/ITGAM/LYZ/PADI2/TRAPPC1/IQGAP2/ARSA/CR1/ERP44/LPCAT1/PSAP/SCAMP1/P2RX1/BST2/LILRB2/NHLRC3/CSTB/MAGT1/AGL/CD68/PTPRN2/CTSH" 244
"GO:0002283" "GO:0002283" "neutrophil activation involved in immune response" "240/3412" "488/18670" 6.63731704526857e-56 1.11775520994268e-52 8.81131007603936e-53 "TYROBP/SLC2A3/SDCBP/CXCR1/FCGR2A/NEU1/QPCT/CD300A/MNDA/LAMP2/FPR1/CMTM6/PTAFR/LRMP/SLC15A4/HEBP2/RAB24/OSTF1/LILRA2/CD63/S100A11/HSPA6/ASAH1/DOK3/CYBA/BIN2/PYCARD/CTSS/IST1/CD53/RHOA/PSEN1/FPR2/PAFAH1B2/GCA/MME/SELL/RAB31/MMP9/RAC1/ARPC5/BRI3/ADAM8/FCGR3B/PLAUR/BST1/MAPK1/GLIPR1/PYGL/CXCR2/DEGS1/DYNC1LI1/CAB39/GOLGA7/SNAP23/RAB37/LRG1/DNAJC3/PRCP/TOM1/CAP1/GMFG/CFP/TLR2/APAF1/IMPDH1/CD93/STXBP3/AGPAT2/RHOG/CANT1/MVP/NPC2/TNFRSF1B/CPPED1/ADGRE3/CDA/DBNL/S100A9/ALOX5/CEACAM3/MMP25/KCMF1/YPEL5/PTPRC/MOSPD2/PGM2/RAB27A/LAMTOR1/SIRPA/ALDOA/PSMD13/SIGLEC9/DDX3X/ATP6AP2/SLC11A1/HSPA1A/CXCL1/MAPK14/CD59/SERPINB1/HEXB/NIT2/DYNLT1/ADGRG3/ARHGAP9/DGAT1/FCER1G/ROCK1/FOLR3/ATP6V0A1/CPNE1/C5AR1/PGLYRP1/XRCC5/GLA/SIGLEC5/ADGRE5/ACTR2/CRISPLD2/CTSD/HMOX2/VAPA/CHI3L1/PGAM1/TCIRG1/ANPEP/FGL2/TMEM30A/CD55/TMBIM1/SLCO4C1/PGM1/RAB3D/SERPINA1/ANXA3/TCN1/SNAP29/SYK/PGRMC1/PECAM1/CKAP4/FCAR/NFAM1/RAB18/LAMTOR2/GRN/B2M/LAMTOR3/LAMP1/RAB10/LILRB3/GPI/ATP6V1D/VPS35L/CTSZ/CD14/IQGAP1/FGR/TNFAIP6/UNC13D/IGF2R/MGAM/KPNB1/DNAJC5/CFD/TUBB4B/SURF4/ARL8A/PSMD7/OSCAR/PSMD6/ACTR10/MS4A3/ACAA1/PTPN6/ADAM10/FTL/PLEKHO2/CD58/COTL1/SERPINB6/RAB5C/GNS/TBC1D10C/ATP11B/GSN/ARHGAP45/GSDMD/RAB4B/SPTAN1/PRKCD/CLEC5A/HUWE1/SLC27A2/SLC44A2/QSOX1/DYNC1H1/FCN1/CHIT1/GSTP1/DNASE1L1/CD44/PTPRJ/CTSA/HK3/GGH/VCP/RAB3A/GLB1/TIMP2/ITGB2/RAB7A/SIRPB1/RAP1A/DSN1/FRMPD3/GYG1/SLPI/ITGAM/LYZ/PADI2/TRAPPC1/IQGAP2/ARSA/CR1/ERP44/LPCAT1/PSAP/SCAMP1/P2RX1/BST2/LILRB2/NHLRC3/CSTB/MAGT1/AGL/CD68/PTPRN2/CTSH" 240
"GO:0043312" "GO:0043312" "neutrophil degranulation" "239/3412" "485/18670" 7.09685847582653e-56 1.11775520994268e-52 8.81131007603936e-53 "TYROBP/SLC2A3/SDCBP/CXCR1/FCGR2A/NEU1/QPCT/CD300A/MNDA/LAMP2/FPR1/CMTM6/PTAFR/LRMP/SLC15A4/HEBP2/RAB24/OSTF1/CD63/S100A11/HSPA6/ASAH1/DOK3/CYBA/BIN2/PYCARD/CTSS/IST1/CD53/RHOA/PSEN1/FPR2/PAFAH1B2/GCA/MME/SELL/RAB31/MMP9/RAC1/ARPC5/BRI3/ADAM8/FCGR3B/PLAUR/BST1/MAPK1/GLIPR1/PYGL/CXCR2/DEGS1/DYNC1LI1/CAB39/GOLGA7/SNAP23/RAB37/LRG1/DNAJC3/PRCP/TOM1/CAP1/GMFG/CFP/TLR2/APAF1/IMPDH1/CD93/STXBP3/AGPAT2/RHOG/CANT1/MVP/NPC2/TNFRSF1B/CPPED1/ADGRE3/CDA/DBNL/S100A9/ALOX5/CEACAM3/MMP25/KCMF1/YPEL5/PTPRC/MOSPD2/PGM2/RAB27A/LAMTOR1/SIRPA/ALDOA/PSMD13/SIGLEC9/DDX3X/ATP6AP2/SLC11A1/HSPA1A/CXCL1/MAPK14/CD59/SERPINB1/HEXB/NIT2/DYNLT1/ADGRG3/ARHGAP9/DGAT1/FCER1G/ROCK1/FOLR3/ATP6V0A1/CPNE1/C5AR1/PGLYRP1/XRCC5/GLA/SIGLEC5/ADGRE5/ACTR2/CRISPLD2/CTSD/HMOX2/VAPA/CHI3L1/PGAM1/TCIRG1/ANPEP/FGL2/TMEM30A/CD55/TMBIM1/SLCO4C1/PGM1/RAB3D/SERPINA1/ANXA3/TCN1/SNAP29/SYK/PGRMC1/PECAM1/CKAP4/FCAR/NFAM1/RAB18/LAMTOR2/GRN/B2M/LAMTOR3/LAMP1/RAB10/LILRB3/GPI/ATP6V1D/VPS35L/CTSZ/CD14/IQGAP1/FGR/TNFAIP6/UNC13D/IGF2R/MGAM/KPNB1/DNAJC5/CFD/TUBB4B/SURF4/ARL8A/PSMD7/OSCAR/PSMD6/ACTR10/MS4A3/ACAA1/PTPN6/ADAM10/FTL/PLEKHO2/CD58/COTL1/SERPINB6/RAB5C/GNS/TBC1D10C/ATP11B/GSN/ARHGAP45/GSDMD/RAB4B/SPTAN1/PRKCD/CLEC5A/HUWE1/SLC27A2/SLC44A2/QSOX1/DYNC1H1/FCN1/CHIT1/GSTP1/DNASE1L1/CD44/PTPRJ/CTSA/HK3/GGH/VCP/RAB3A/GLB1/TIMP2/ITGB2/RAB7A/SIRPB1/RAP1A/DSN1/FRMPD3/GYG1/SLPI/ITGAM/LYZ/PADI2/TRAPPC1/IQGAP2/ARSA/CR1/ERP44/LPCAT1/PSAP/SCAMP1/P2RX1/BST2/LILRB2/NHLRC3/CSTB/MAGT1/AGL/CD68/PTPRN2/CTSH" 239
"GO:0006914" "GO:0006914" "autophagy" "179/3412" "496/18670" 1.29447305721543e-21 1.3591967100762e-18 1.07146033051621e-18 "ATP6V0B/NRBF2/TMBIM6/LAMP2/PHF23/USP10/RNF41/NAMPT/GABARAPL1/LAMTOR4/RRAGD/RAB24/NLRP6/RRAGC/PYCARD/EXOC8/PSEN1/PAFAH1B2/ATP6V0E1/MCL1/CHMP2A/CSNK2A2/VMP1/CHMP3/ATP6V0D1/ATP6V1B2/TP53INP1/RGS19/GNAI3/MAPK3/SH3GLB1/RALB/NBR1/RAB1A/KAT8/AKT1/MEFV/TFEB/TRIM21/VPS4B/UBXN2B/RB1CC1/TBC1D14/ATP6V1E1/TMEM59/ATG3/RAB33B/TM9SF1/TECPR2/S100A9/TSPO/VPS18/MUL1/ATP6V1A/GABARAP/LAMTOR1/TLK2/SQSTM1/DDIT3/GAPDH/CD84/HIF1A/DAPK3/CDK5R1/ROCK1/ATP6V0A1/DAPK2/STAT3/ZMPSTE24/STX12/HTRA2/TRIM8/HTT/RAB8A/LRRK2/ATP6V1C1/BECN1/MTMR14/TCIRG1/RNF185/BAD/MAP1LC3A/CHMP2B/SNX6/SNAP29/HGF/KAT5/RUBCNL/TSG101/RAB5A/VPS25/LAMTOR2/TBK1/STAM2/LAMTOR3/GBA/SPTLC1/NSFL1C/ATP6V1D/PRKAG1/TRAPPC8/PRKN/BCL2/ATG2A/TIGAR/ZC3H12A/CAMKK2/MFSD8/EPM2A/USP13/TP53INP2/SPTLC2/SESN3/VPS37C/C9orf72/FUNDC1/NPC1/PIK3R2/ITPR1/USP36/VPS35/SEC22B/LARP1/NRBP2/EMC6/WDFY3/TMEM208/PARK7/LAMTOR5/ATG16L2/GOLGA2/ZKSCAN3/EIF2AK4/QSOX1/VPS13D/EXOC1/KLHL3/FYCO1/PIK3C2B/SNAPIN/DRAM1/CLEC16A/VPS16/SESN2/DHRSX/PIK3CA/CTSA/ULK2/UBQLN4/FOXK1/SREBF2/VCP/MTMR8/MAP1LC3B2/ULK1/MTMR3/PIP4K2C/RAB7A/CPTP/NOD1/RIPK2/MARK2/STUB1/LIX1/IKBKG/ERCC4/ACBD5/PSAP/VPS41/LEP/ATG12/ANXA7/WAC/POLDIP2/MTOR/CHMP4A/MAP1S/RPTOR/CHMP4B" 179
"GO:0061919" "GO:0061919" "process utilizing autophagic mechanism" "179/3412" "496/18670" 1.29447305721543e-21 1.3591967100762e-18 1.07146033051621e-18 "ATP6V0B/NRBF2/TMBIM6/LAMP2/PHF23/USP10/RNF41/NAMPT/GABARAPL1/LAMTOR4/RRAGD/RAB24/NLRP6/RRAGC/PYCARD/EXOC8/PSEN1/PAFAH1B2/ATP6V0E1/MCL1/CHMP2A/CSNK2A2/VMP1/CHMP3/ATP6V0D1/ATP6V1B2/TP53INP1/RGS19/GNAI3/MAPK3/SH3GLB1/RALB/NBR1/RAB1A/KAT8/AKT1/MEFV/TFEB/TRIM21/VPS4B/UBXN2B/RB1CC1/TBC1D14/ATP6V1E1/TMEM59/ATG3/RAB33B/TM9SF1/TECPR2/S100A9/TSPO/VPS18/MUL1/ATP6V1A/GABARAP/LAMTOR1/TLK2/SQSTM1/DDIT3/GAPDH/CD84/HIF1A/DAPK3/CDK5R1/ROCK1/ATP6V0A1/DAPK2/STAT3/ZMPSTE24/STX12/HTRA2/TRIM8/HTT/RAB8A/LRRK2/ATP6V1C1/BECN1/MTMR14/TCIRG1/RNF185/BAD/MAP1LC3A/CHMP2B/SNX6/SNAP29/HGF/KAT5/RUBCNL/TSG101/RAB5A/VPS25/LAMTOR2/TBK1/STAM2/LAMTOR3/GBA/SPTLC1/NSFL1C/ATP6V1D/PRKAG1/TRAPPC8/PRKN/BCL2/ATG2A/TIGAR/ZC3H12A/CAMKK2/MFSD8/EPM2A/USP13/TP53INP2/SPTLC2/SESN3/VPS37C/C9orf72/FUNDC1/NPC1/PIK3R2/ITPR1/USP36/VPS35/SEC22B/LARP1/NRBP2/EMC6/WDFY3/TMEM208/PARK7/LAMTOR5/ATG16L2/GOLGA2/ZKSCAN3/EIF2AK4/QSOX1/VPS13D/EXOC1/KLHL3/FYCO1/PIK3C2B/SNAPIN/DRAM1/CLEC16A/VPS16/SESN2/DHRSX/PIK3CA/CTSA/ULK2/UBQLN4/FOXK1/SREBF2/VCP/MTMR8/MAP1LC3B2/ULK1/MTMR3/PIP4K2C/RAB7A/CPTP/NOD1/RIPK2/MARK2/STUB1/LIX1/IKBKG/ERCC4/ACBD5/PSAP/VPS41/LEP/ATG12/ANXA7/WAC/POLDIP2/MTOR/CHMP4A/MAP1S/RPTOR/CHMP4B" 179
"GO:0016236" "GO:0016236" "macroautophagy" "117/3412" "295/18670" 4.17413060398541e-18 3.75671754358687e-15 2.96143581798544e-15 "ATP6V0B/LAMP2/PHF23/RNF41/GABARAPL1/LAMTOR4/RRAGD/RRAGC/EXOC8/PSEN1/PAFAH1B2/ATP6V0E1/CHMP2A/CSNK2A2/VMP1/CHMP3/ATP6V0D1/ATP6V1B2/TP53INP1/GNAI3/MAPK3/SH3GLB1/RALB/NBR1/RAB1A/AKT1/VPS4B/UBXN2B/RB1CC1/TBC1D14/ATP6V1E1/ATG3/RAB33B/ATP6V1A/GABARAP/LAMTOR1/SQSTM1/GAPDH/HIF1A/CDK5R1/ATP6V0A1/STX12/HTRA2/HTT/LRRK2/ATP6V1C1/BECN1/MTMR14/TCIRG1/MAP1LC3A/CHMP2B/SNX6/SNAP29/RUBCNL/TSG101/RAB5A/VPS25/LAMTOR2/TBK1/STAM2/LAMTOR3/GBA/SPTLC1/NSFL1C/ATP6V1D/PRKAG1/TRAPPC8/PRKN/ATG2A/TIGAR/EPM2A/TP53INP2/SPTLC2/SESN3/VPS37C/C9orf72/FUNDC1/NPC1/USP36/VPS35/SEC22B/LARP1/NRBP2/EMC6/WDFY3/LAMTOR5/ATG16L2/QSOX1/VPS13D/EXOC1/KLHL3/FYCO1/PIK3C2B/SNAPIN/CLEC16A/VPS16/SESN2/PIK3CA/ULK2/UBQLN4/VCP/MAP1LC3B2/ULK1/MTMR3/PIP4K2C/RAB7A/NOD1/RIPK2/LIX1/IKBKG/ATG12/WAC/POLDIP2/MTOR/CHMP4A/RPTOR/CHMP4B" 117
"GO:0010506" "GO:0010506" "regulation of autophagy" "121/3412" "327/18670" 6.02261210936388e-16 4.74280703612406e-13 3.73877420157616e-13 "ATP6V0B/PHF23/USP10/RNF41/NAMPT/LAMTOR4/RRAGD/NLRP6/RRAGC/PYCARD/EXOC8/PAFAH1B2/ATP6V0E1/MCL1/CSNK2A2/ATP6V0D1/ATP6V1B2/TP53INP1/GNAI3/MAPK3/SH3GLB1/RALB/KAT8/AKT1/MEFV/TFEB/TRIM21/RB1CC1/TBC1D14/ATP6V1E1/TMEM59/TSPO/MUL1/ATP6V1A/LAMTOR1/TLK2/DDIT3/GAPDH/HIF1A/DAPK3/CDK5R1/ROCK1/ATP6V0A1/DAPK2/STAT3/ZMPSTE24/HTRA2/TRIM8/HTT/RAB8A/LRRK2/ATP6V1C1/BECN1/BAD/SNX6/HGF/KAT5/RAB5A/LAMTOR2/TBK1/LAMTOR3/GBA/SPTLC1/ATP6V1D/PRKAG1/PRKN/BCL2/TIGAR/ZC3H12A/CAMKK2/MFSD8/EPM2A/USP13/TP53INP2/SPTLC2/SESN3/C9orf72/NPC1/PIK3R2/ITPR1/USP36/VPS35/SEC22B/LARP1/NRBP2/PARK7/LAMTOR5/GOLGA2/ZKSCAN3/EIF2AK4/QSOX1/VPS13D/EXOC1/FYCO1/DRAM1/CLEC16A/SESN2/DHRSX/PIK3CA/CTSA/ULK2/UBQLN4/FOXK1/SREBF2/MTMR8/ULK1/MTMR3/PIP4K2C/CPTP/NOD1/RIPK2/IKBKG/ERCC4/PSAP/LEP/WAC/POLDIP2/MTOR/CHMP4A/RPTOR/CHMP4B" 121
"GO:0001819" "GO:0001819" "positive regulation of cytokine production" "151/3412" "464/18670" 5.64352410967617e-14 3.95046687677332e-11 3.11416921046224e-11 "TYROBP/NLRP12/HLA-E/FADD/MNDA/TLR1/PTAFR/TLR4/LILRA2/FAM49B/CYBA/TLR6/PYCARD/PELI1/PSEN1/FLOT1/IL6R/ADAM8/AKIRIN2/TLR8/CLEC4E/MAPK3/IRF1/CASP8/IL1RN/IL1RAP/IFNGR1/C1QTNF3/CD46/BRCA1/TNFRSF8/SULF2/TLR2/AGPAT2/CLEC7A/AKAP12/IL1B/PTPRC/CEBPB/FFAR2/BCL10/DDIT3/DDX3X/SMAD3/ATP6AP2/GAPDH/SLC11A1/HSPA1A/MAPK14/NLRX1/HIF1A/PDE4B/FCER1G/STAT6/LILRA5/HMGB2/STAT3/C5AR1/XRCC5/CASP1/CHUK/BCL3/SLAMF6/PANX2/AIF1/CCR2/NLRP3/SPHK1/LRRK2/F2RL1/PTGER4/FRMD8/RARA/PLCG2/PRKCZ/IL18R1/MBP/SYK/HGF/HAVCR2/NFAM1/TNFRSF14/TUSC2/B2M/TBK1/DHX33/CREB1/LY96/MAPKAPK2/POLR3A/ATF4/CD14/FGR/GPSM3/IL17RA/RNF135/TRIM16/RASGRP1/SEC14L1/PTGS2/CD58/TMF1/HYAL2/GATA3/CD86/CD3E/POLR3E/PARK7/ZBTB20/NOD2/GSDMD/CLEC5A/IL18/FFAR3/MAPK13/FCN1/CRCP/HLA-F/JAK2/HEG1/PTPRJ/POLR2F/POLR3C/ARHGEF2/MCOLN2/LRRFIP1/GPATCH3/ARFGEF2/SPTBN1/TBC1D23/NOD1/RIPK2/POLR3D/ZFPM1/DDX41/HLA-DPB1/SASH3/TNFSF4/TRAF6/PUM1/KPNA6/ADORA2B/HLA-DPA1/ANKRD17/LILRB2/LEP/OSM/LY9/CCDC88B/CD80/IRF7" 151
"GO:0016241" "GO:0016241" "regulation of macroautophagy" "72/3412" "171/18670" 3.46329140173569e-13 2.18187358309348e-10 1.71997987719884e-10 "ATP6V0B/PHF23/RNF41/LAMTOR4/RRAGD/RRAGC/EXOC8/PAFAH1B2/ATP6V0E1/ATP6V0D1/ATP6V1B2/GNAI3/MAPK3/SH3GLB1/RALB/AKT1/RB1CC1/TBC1D14/ATP6V1E1/ATP6V1A/LAMTOR1/GAPDH/HIF1A/CDK5R1/ATP6V0A1/HTRA2/HTT/LRRK2/ATP6V1C1/BECN1/SNX6/RAB5A/LAMTOR2/TBK1/LAMTOR3/GBA/SPTLC1/ATP6V1D/PRKAG1/PRKN/TIGAR/EPM2A/SPTLC2/SESN3/C9orf72/NPC1/USP36/VPS35/SEC22B/LARP1/NRBP2/LAMTOR5/QSOX1/VPS13D/EXOC1/FYCO1/CLEC16A/SESN2/PIK3CA/UBQLN4/ULK1/MTMR3/PIP4K2C/NOD1/RIPK2/IKBKG/WAC/POLDIP2/MTOR/CHMP4A/RPTOR/CHMP4B" 72
