"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0030667" "GO:0030667" "secretory granule membrane" "134/3549" "298/19717" 2.70760202368195e-27 2.03611672180882e-24 1.51055691847519e-24 "TYROBP/SLC2A3/CA4/CXCR1/FCGR2A/CD300A/LAMP2/FPR1/CMTM6/PTAFR/LRMP/SLC15A4/RAB24/CD63/DOK3/CYBA/CD53/RHOA/PSEN1/FPR2/MME/SELL/RAB31/RAC1/BRI3/ADAM8/FCGR3B/PLAUR/BST1/GLIPR1/CXCR2/DEGS1/DYNC1LI1/SNAP23/RAB37/PRCP/TOM1/CD46/STX3/TLR2/CD93/AGPAT2/RHOG/TNFRSF1B/ADGRE3/CEACAM3/MMP25/PTPRC/MOSPD2/RAB27A/LAMTOR1/SIRPA/SIGLEC9/ATP6AP2/SLC11A1/CD59/ADGRG3/DGAT1/FCER1G/ATP6V0A1/CPNE1/C5AR1/SIGLEC5/ADGRE5/HMOX2/VAPA/TCIRG1/ANPEP/TMEM30A/CD55/TMBIM1/SLCO4C1/RAB3D/SNAP29/PGRMC1/PECAM1/CKAP4/FCAR/NFAM1/RAB18/APLP2/LAMTOR2/FLOT2/LAMTOR3/LAMP1/RAB10/LILRB3/ATP6V1D/VPS35L/CD14/IQGAP1/IGF2R/MGAM/DNAJC5/SURF4/ARL8A/ITPR1/ACRBP/MS4A3/ADAM10/CD58/SERPINB6/RAB5C/TMED2/TBC1D10C/ATP11B/CCDC136/RAB4B/CLEC5A/CYB5R1/SLC27A2/SLC44A2/CD44/PTPRJ/RAB3A/ITGB2/RAB7A/SIRPB1/RAP1A/FRMPD3/ITGAM/IQGAP2/CR1/CUZD1/LPCAT1/PSAP/SCAMP1/P2RX1/BST2/LILRB2/ANXA7/MAGT1/CD68/PTPRN2" 134
"GO:0101002" "GO:0101002" "ficolin-1-rich granule" "96/3549" "185/19717" 1.0926246577e-25 8.21653742590397e-23 3.04784772937367e-23 "SLC2A3/QPCT/CD300A/MNDA/LAMP2/FPR1/OSTF1/HSPA6/ASAH1/DOK3/BIN2/CTSS/RHOA/FPR2/PAFAH1B2/MMP9/RAC1/ARPC5/ADAM8/MAPK1/PYGL/DYNC1LI1/CAB39/LRG1/PRCP/GMFG/APAF1/IMPDH1/CD93/CANT1/MVP/ADGRE3/CDA/DBNL/ALOX5/KCMF1/YPEL5/PGM2/LAMTOR1/SIRPA/ALDOA/PSMD13/DDX3X/ATP6AP2/SLC11A1/HSPA1A/MAPK14/DYNLT1/FCER1G/ATP6V0A1/SIGLEC5/ACTR2/CRISPLD2/CTSD/PGAM1/TCIRG1/FGL2/CD55/PGM1/SERPINA1/FCAR/LAMP1/GPI/VPS35L/CTSZ/TNFAIP6/MGAM/KPNB1/CFD/ARL8A/PSMD7/PSMD6/ACTR10/PLEKHO2/CD58/COTL1/SERPINB6/GNS/TBC1D10C/GSN/GSDMD/HUWE1/FCN1/GSTP1/HK3/VCP/GLB1/TIMP2/ITGB2/GYG1/CR1/LILRB2/CSTB/AGL/PTPRN2/CTSH" 96
"GO:0042581" "GO:0042581" "specific granule" "78/3549" "160/19717" 5.20715246059327e-19 3.91577865036614e-16 9.68347650566468e-17 "SLC2A3/NEU1/QPCT/CMTM6/SLC15A4/CYBA/CD53/FPR2/ADAM8/PLAUR/BST1/DEGS1/SNAP23/RAB37/LRG1/TOM1/STX3/CFP/CD93/STXBP3/AGPAT2/CANT1/TNFRSF1B/CEACAM3/MMP25/MOSPD2/RAB27A/LAMTOR1/CXCL1/CD59/NIT2/ADGRG3/DGAT1/FOLR3/PGLYRP1/CTSD/HMOX2/CHI3L1/TMEM30A/TMBIM1/SLCO4C1/ANXA3/TCN1/PGRMC1/CKAP4/FCAR/LAMTOR2/B2M/STX4/LAMTOR3/ATP6V1D/CTSZ/KPNB1/DNAJC5/OSCAR/MS4A3/ACAA1/PTPN6/ADAM10/GSDMD/SPTAN1/CLEC5A/SLC27A2/SLC44A2/QSOX1/CHIT1/DNASE1L1/PTPRJ/GGH/TIMP2/ITGB2/RAP1A/SLPI/ITGAM/LYZ/ERP44/SCAMP1/P2RX1" 78
"GO:0070820" "GO:0070820" "tertiary granule" "79/3549" "164/19717" 7.71147304904207e-19 5.79902773287964e-16 1.07554755684008e-16 "SLC2A3/QPCT/CD300A/LAMP2/FPR1/PTAFR/ASAH1/DOK3/CYBA/CTSS/CD53/RHOA/FPR2/MMP9/RAC1/ADAM8/DYNC1LI1/GOLGA7/SNAP23/LRG1/PRCP/CFP/CD93/STXBP3/CANT1/ADGRE3/CDA/DBNL/YPEL5/LAMTOR1/SIRPA/ALDOA/ATP6AP2/SLC11A1/CXCL1/CD59/NIT2/FCER1G/FOLR3/ATP6V0A1/PGLYRP1/SIGLEC5/CTSD/TCIRG1/CD55/PGM1/TCN1/FCAR/LAMTOR2/B2M/LAMTOR3/LAMP1/VPS35L/TNFAIP6/MGAM/ARL8A/OSCAR/PTPN6/ADAM10/CD58/SERPINB6/TBC1D10C/GSDMD/SPTAN1/CLEC5A/QSOX1/CHIT1/GGH/TIMP2/ITGB2/FRMPD3/ITGAM/LYZ/CR1/LILRB2/STX7/CSTB/PTPRN2/CTSH" 79
"GO:0045335" "GO:0045335" "phagocytic vesicle" "66/3549" "132/19717" 5.10857561360536e-17 3.84164886143123e-14 5.70009489518072e-15 "ATP6V0B/NCF2/HLA-E/PIP4P2/LAMP2/TLR1/NCF4/CYBA/TLR6/RAB11FIP1/ATP6V0E1/RAB31/ADAM8/ATP6V0D1/ABCA1/RAB32/VAMP3/SNAP23/NCF1/TLR2/STXBP3/RAB43/CORO1A/SLC11A1/RAB8B/PIP4P1/ATP6V0A1/STX6/STX12/PGLYRP1/RAB8A/BECN1/CDC42EP2/TCIRG1/RAC2/HLA-C/ANXA3/SYK/RAB5A/KIF16B/HLA-A/B2M/STX4/WAS/LAMP1/RAB10/TAP1/VIM/DNM2/SEC22B/HLA-B/STXBP4/GSN/EVL/UNC93B1/KIF5B/HLA-F/OCRL/ZYX/RAB11A/RAB7A/RAP1A/ATP7A/ACTG1/ATG12/CDC42EP4" 66
"GO:1904813" "GO:1904813" "ficolin-1-rich granule lumen" "62/3549" "124/19717" 4.49631881445996e-16 3.38123174847389e-13 4.18078766958558e-14 "QPCT/MNDA/OSTF1/HSPA6/ASAH1/BIN2/CTSS/PAFAH1B2/MMP9/ARPC5/MAPK1/PYGL/CAB39/LRG1/GMFG/APAF1/IMPDH1/CANT1/MVP/CDA/DBNL/ALOX5/KCMF1/YPEL5/PGM2/ALDOA/PSMD13/DDX3X/HSPA1A/MAPK14/DYNLT1/ACTR2/CRISPLD2/CTSD/PGAM1/FGL2/PGM1/SERPINA1/GPI/CTSZ/TNFAIP6/KPNB1/CFD/PSMD7/PSMD6/ACTR10/PLEKHO2/COTL1/GNS/GSN/GSDMD/HUWE1/FCN1/GSTP1/HK3/VCP/GLB1/TIMP2/GYG1/CSTB/AGL/CTSH" 62
"GO:0005774" "GO:0005774" "vacuolar membrane" "140/3549" "412/19717" 3.12613439260189e-15 2.35085306323662e-12 2.49150560613384e-13 "ATP6V0B/TM6SF1/PIP4P2/NEU1/LITAF/LAMP2/FPR1/CMTM6/RNF13/LRMP/SLC15A4/GABARAPL1/LAMTOR4/SPAG9/RRAGD/CD63/RRAGC/PSEN1/BORCS6/FLOT1/VMP1/BRI3/ATP6V0D1/ATP6V1B2/TLR8/GNAI3/THBD/GLIPR1/SH3GLB1/RAB37/GNB2/PRCP/TOM1/SLC15A3/CUBN/ATP6V1E1/TMEM59/TM9SF1/TMEM199/RAB2A/AP5B1/SLC11A2/VPS18/ATP6V1A/OSTM1/GABARAP/LAMTOR1/PIP4P1/WDR59/ATP6V0A1/CPNE1/ECE1/GPR137B/CTSD/ATP6V1C1/STARD3NL/VAPA/TCIRG1/MAP1LC3A/ANPEP/TMEM30A/LMBRD1/GNAQ/TMBIM1/SLCO4C1/GNB4/RAB3D/SNAP29/RUBCNL/STARD3/CKAP4/NFAM1/LAMTOR2/GRN/CLTA/LAMTOR3/LAMP1/GBA/LAPTM4A/ATP6V1D/LAPTM5/SEC13/IGF2R/MFSD8/HPS6/DNAJC5/AP1S1/SURF4/ARL8A/NPC1/CYBRD1/VPS35/HLA-DRB1/ITFG2/SLC30A4/MCOLN3/GNB1/SLC17A5/RAB5C/WDFY3/ATP11B/YWHAB/SEH1L/LAMTOR5/ATG16L2/SLC44A2/HLA-F/SNAPIN/MREG/DRAM1/CLEC16A/VPS16/ATP6V1F/CTSA/ABCD1/AP1S2/MAP1LC3B2/ULK1/HLA-DRA/HLA-DMA/RAB7A/TRIM23/HLA-DPB1/SLC26A11/LPCAT1/PSAP/BORCS5/HLA-DPA1/BLOC1S1/WDR11/BST2/VPS41/CD164/STX7/PNPLA7/MAGT1/MTOR/CD68/RPTOR/AP3B1" 140
"GO:0034774" "GO:0034774" "secretory granule lumen" "115/3549" "321/19717" 1.52401678875308e-14 1.14606062514231e-11 1.06280118163043e-12 "SDCBP/NEU1/QPCT/MNDA/SRGN/HEBP2/OSTF1/S100A11/HSPA6/FAM49B/BIN2/PYCARD/IST1/PAFAH1B2/GCA/ARPC5/MAPK1/PYGL/CAB39/LRG1/DNAJC3/CAP1/GMFG/CFP/GAS6/APAF1/IMPDH1/CANT1/MVP/NPC2/SCCPDH/CPPED1/CDA/DBNL/S100A9/ALOX5/PGM2/RAB27A/ALDOA/PSMD13/DDX3X/CXCL1/MAPK14/SERPINB1/HEXB/NIT2/DYNLT1/ARHGAP9/ROCK1/FOLR3/PGLYRP1/TIMP1/XRCC5/ACTN1/GLA/ACTR2/CRISPLD2/CTSD/CHI3L1/PGAM1/SERPINA1/TCN1/HGF/GRN/B2M/GPI/CTSZ/FGR/VEGFA/UNC13D/KPNB1/CFD/TUBB4B/PSMD7/OSCAR/PSMD6/ACTR10/ACAA1/PTPN6/FTL/COTL1/GNS/GSN/ARHGAP45/GSDMD/SPTAN1/PRKCD/HUWE1/QSOX1/DYNC1H1/FCN1/CHIT1/GSTP1/DNASE1L1/CTSA/HK3/GGH/VCP/TMSB4X/GLB1/TIMP2/DSN1/GYG1/SLPI/LYZ/PADI2/TRAPPC1/ARSA/ACTN4/ERP44/NHLRC3/CSTB/AGL/TOR4A/CTSH" 115
"GO:0005765" "GO:0005765" "lysosomal membrane" "123/3549" "354/19717" 2.45590220459878e-14 1.84683845785828e-11 1.52237212682731e-12 "TM6SF1/PIP4P2/NEU1/LITAF/LAMP2/FPR1/CMTM6/RNF13/LRMP/SLC15A4/LAMTOR4/SPAG9/CD63/PSEN1/BORCS6/FLOT1/BRI3/ATP6V0D1/ATP6V1B2/TLR8/GNAI3/GLIPR1/RAB37/GNB2/PRCP/TOM1/SLC15A3/CUBN/ATP6V1E1/TMEM59/TM9SF1/RAB2A/AP5B1/SLC11A2/VPS18/ATP6V1A/OSTM1/LAMTOR1/PIP4P1/WDR59/ATP6V0A1/CPNE1/ECE1/GPR137B/CTSD/ATP6V1C1/STARD3NL/VAPA/TCIRG1/ANPEP/TMEM30A/LMBRD1/GNAQ/TMBIM1/SLCO4C1/GNB4/RAB3D/SNAP29/STARD3/CKAP4/NFAM1/LAMTOR2/GRN/CLTA/LAMTOR3/LAMP1/GBA/LAPTM4A/ATP6V1D/LAPTM5/SEC13/IGF2R/MFSD8/HPS6/DNAJC5/AP1S1/SURF4/ARL8A/NPC1/CYBRD1/VPS35/HLA-DRB1/ITFG2/SLC30A4/MCOLN3/GNB1/SLC17A5/RAB5C/ATP11B/SEH1L/LAMTOR5/SLC44A2/HLA-F/SNAPIN/MREG/DRAM1/CLEC16A/VPS16/CTSA/ABCD1/AP1S2/HLA-DRA/HLA-DMA/RAB7A/TRIM23/HLA-DPB1/SLC26A11/LPCAT1/PSAP/BORCS5/HLA-DPA1/BLOC1S1/WDR11/BST2/VPS41/CD164/STX7/PNPLA7/MAGT1/MTOR/CD68/RPTOR/AP3B1" 123
"GO:0010008" "GO:0010008" "endosome membrane" "154/3549" "479/19717" 2.78157915495162e-14 2.09174752452362e-11 1.55182837065722e-12 "PSENEN/ATP6V0B/ITM2B/RAB35/HLA-E/PIP4P2/LITAF/LAMP2/PACSIN2/NCF4/CMTM6/RNF13/CHMP1B/TLR4/ANTXR2/STEAP4/LAMTOR4/SNX10/CD63/RHOB/YIPF1/PSEN1/OSBPL11/EPHB1/ATP6V0E1/CHMP2A/CHMP3/RAB31/RAC1/ATP6V0D1/TLR8/PLIN3/UBC/VAMP3/CUBN/KIF13A/SNX18/VPS4B/ZFYVE16/TMEM59/CHMP1A/ACAP2/ZFYVE27/SLC11A2/SPG21/RAB27A/VPS18/APH1A/LAMTOR1/PLEKHB2/SLC11A1/RAB8B/PIP4P1/SORL1/ATP6V0A1/STX12/ECE1/RAB8A/WLS/SPHK1/CTSD/OSBPL9/STARD3NL/BECN1/TCIRG1/RAB21/RUFY1/NAPEPLD/HLA-C/SLC9B2/TMBIM1/CHMP2B/ATP6AP1/SNX6/ITCH/LDLRAD4/TSG101/STARD3/RAB5A/RNF144A/VPS25/LAMTOR2/KIF16B/HLA-A/B2M/CLTA/TBK1/STAM2/LY96/LAMTOR3/LAMP1/LAPTM4A/RAB10/CD14/ZFYVE28/SNX16/HPS6/UBE2D3/GOSR2/PLEKHF2/VPS37C/ARL8A/NPC1/RAB11FIP4/VPS35/HLA-DRB1/HLA-B/EHD1/SLC30A4/MCOLN3/RABGEF1/RAB5C/APH1B/ATP11B/LAMTOR5/SNX13/USP8/KIAA0319/HLA-F/UBAP1L/MREG/CLEC16A/VPS16/OCRL/CHMP5/RAB11A/PMEPA1/MCOLN2/TM9SF2/BAIAP3/HLA-DRA/HLA-DMA/RFFL/CORO1C/RAB7A/CPTP/HLA-DPB1/NTRK1/SNX25/TRAF6/PARM1/SLA2/SCAMP1/HLA-DPA1/NDRG1/VPS41/CD164/STX7/IRAK2/CHMP4A/CD68/IRF7/ARHGAP32/CHMP4B" 154
