"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"hsa04666" "hsa04666" "Fc gamma R-mediated phagocytosis" "52/1658" "97/8192" 2.71270503810006e-13 9.00618072649221e-11 5.88228671419593e-11 "2212/1398/7408/5894/2213/10552/10094/4082/5879/10092/2215/5594/5595/207/10093/10109/653361/7409/2214/5788/10096/998/10095/3055/9846/5579/10097/8877/4067/5058/653857/5880/3985/5336/6850/5293/7454/5335/1072/1785/8611/5321/5296/10000/10451/2934/5580/57180/5290/8395/5578/5581" 52
"hsa04144" "hsa04144" "Endocytosis" "99/1658" "251/8192" 1.04953747308641e-12 1.74223220532344e-10 1.13791957608316e-10 "3577/11021/7048/3133/10193/57132/3310/26286/9798/80223/387/27243/51652/11031/10552/10094/27128/10092/51100/3579/10093/10109/9525/9765/9266/5119/23527/118813/409/51324/10096/998/10095/4088/3303/2352/7852/830/10097/23550/378/4218/80230/653857/3107/729092/381/25978/5590/58533/3305/83737/7046/7251/5868/829/84313/3105/1211/414189/10254/10890/2870/3482/1785/10617/55048/84440/55737/3106/10938/2869/64744/50855/5878/9101/3799/23111/57180/3134/116985/55680/51510/8766/156/868/23325/7879/10564/8395/11059/7189/9815/64411/29082/9922/84364/26119/128866" 99
"hsa05132" "hsa05132" "Salmonella infection" "98/1658" "249/8192" 1.59804772754338e-12 1.76850615181468e-10 1.15508011183838e-10 "8772/6416/7099/837/5894/388/10333/29108/387/5294/10552/10094/27128/5879/10092/5594/5595/51143/8677/841/7846/207/10093/10109/8743/112574/4792/7097/391/9266/7132/3553/7277/10627/10376/5788/57617/10096/998/10095/2597/1432/6993/8795/834/1147/103910/10097/114548/7295/10006/5058/84617/653857/11258/581/5868/5216/578/5293/23643/197259/929/596/10383/1785/127829/84790/55860/10000/3725/1783/58484/5878/10121/79792/3836/3799/3606/5603/1778/57180/79443/5287/89953/6934/64601/5290/6932/7879/10392/8767/3840/8517/71/7189/60/27072" 98
"hsa05152" "hsa05152" "Tuberculosis" "76/1658" "180/8192" 9.74970691065313e-12 8.0922567358421e-10 5.28536743051196e-10 "533/3588/3460/2212/8772/3920/7096/7099/637/5894/2213/10333/1520/387/9114/2215/26253/5594/5595/841/207/3459/7097/317/11151/64581/7132/3553/2214/4046/1051/8915/842/1432/2207/535/5530/8877/1509/10312/805/572/537/6850/581/5868/1385/3716/3916/929/596/808/818/3123/5532/10000/5878/7421/64127/4800/3606/5603/3717/3122/3689/3108/7879/8767/3684/3115/5533/1378/7189/3113/8625/3656" 76
"hsa04380" "hsa04380" "Osteoclast differentiation" "59/1658" "128/8192" 2.92525171350299e-11 1.94236713776598e-09 1.26863547996129e-09 "7305/3460/2212/4688/7048/4689/11027/2213/1535/2885/3454/5879/2215/5594/5595/3726/207/3459/6688/653361/4792/7297/7132/3553/2214/140885/8878/1432/9846/353514/1147/5530/2355/4773/5336/11024/6850/7046/1385/5293/3716/11025/3937/126014/5296/5532/10000/3725/5603/5290/5971/10326/8517/5533/10379/7189/2534/10288/695" 59
"hsa05135" "hsa05135" "Yersinia infection" "61/1658" "137/8192" 8.10420872907867e-11 4.4843288300902e-09 2.92888947050913e-09 "2212/1398/6416/7099/3678/29108/387/10552/10094/5879/10092/6195/5594/5595/207/10093/10109/4210/4792/391/7409/3553/10096/998/10095/1432/6093/834/1147/10097/114548/653857/5880/2776/8935/4773/29110/5586/5293/7454/5335/3937/5296/10000/3725/10451/8874/58484/3676/3606/5603/57180/2533/5290/8395/8517/71/7189/60/9815/5829" 61
"hsa05167" "hsa05167" "Kaposi sarcoma-associated herpesvirus infection" "78/1658" "194/8192" 9.48158305218678e-11 4.49697939046573e-09 2.9371520432338e-09 "3133/8772/6416/637/5894/3454/5294/2787/5879/5594/5595/7316/841/2783/207/3459/4792/355/7297/64422/7132/7538/9976/3055/842/2919/57580/1432/3091/6774/1147/5530/8678/2790/4067/805/84557/3107/1021/4773/59345/5336/6850/581/3105/29110/7187/578/1385/5293/3716/9261/5335/7422/3383/808/5296/3708/3106/5532/10000/3725/5743/2782/942/5603/3134/3717/6934/5290/6932/643246/8517/5533/10379/4277/2475/3665" 78
"hsa04145" "hsa04145" "Phagosome" "65/1658" "152/8192" 1.63975754974531e-10 6.80499383144303e-09 4.44460599009912e-09 "533/2212/4688/3133/3920/4689/7099/2213/1535/3678/10333/1520/8992/5879/9114/2215/526/51143/9341/7846/653361/7097/11151/64581/529/2214/7277/10376/523/535/23673/528/10312/84617/3107/537/5868/2204/3105/3916/51382/6890/929/10383/10952/84790/9554/3123/3106/1783/5878/4481/1778/3134/9296/3122/3689/3108/7879/3684/3115/71/60/3113/8417" 65
"hsa05417" "hsa05417" "Lipid and atherosclerosis" "81/1658" "215/8192" 1.7238038227757e-09 6.35892076846148e-08 4.15325833323737e-08 "4688/9619/4689/6416/7099/637/3310/1535/10333/29108/387/4318/5879/6648/5594/19/5595/841/207/8743/653361/4792/7097/317/4217/355/7409/7132/3553/998/1649/842/3303/2919/1432/8795/6774/22926/834/1147/10010/5530/114548/4780/4067/805/572/4773/3305/581/29110/7187/5293/23643/468/5335/929/596/30001/3383/808/5296/3708/818/6256/5532/10000/3725/10451/6257/3606/5603/3717/5290/5906/8517/5578/5533/7189/1559/3665" 81
"hsa04662" "hsa04662" "B cell receptor signaling pathway" "40/1658" "82/8192" 6.02109820043576e-09 1.99900460254467e-07 1.3056276097787e-07 "5894/11027/2213/2885/5879/5594/5595/207/4792/7409/8915/6655/353514/5579/27071/1147/5530/4067/5880/4773/5336/11024/6850/5293/11025/8519/5296/5777/5532/10000/3725/10451/5290/4794/8517/5533/4793/10288/695/118788" 40
