"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0031625" "GO:0031625" "ubiquitin protein ligase binding" "100/3421" "290/17697" 6.69138692689434e-10 6.66593829485318e-07 5.93113942871092e-07 "TMBIM6/BID/GABARAPL1/PRKAR1A/CACUL1/UBE2D1/UBC/RALB/CASP8/APC/TRIB1/BRCA1/NFKBIA/ABI2/TNFRSF1B/SPOPL/ARRB2/TUBA1B/MUL1/GABARAP/BCL10/SQSTM1/TPI1/SMAD3/HSPA1A/FHIT/HIF1A/SPOP/ATF6/XRCC5/PIAS1/CXCR4/TANK/YWHAZ/BECN1/LYN/MAP1LC3A/HSPA1L/DNAJA1/TXNIP/SUMO1/DET1/TSG101/TNFRSF14/RNF34/UBE2W/USP19/TRAF3/UBE2J2/JAK1/GPI/UBXN1/ARRDC1/PRKN/BCL2/NEDD8/TRAF1/TRIOBP/JKAMP/UBE2D3/USP13/PER3/OTUB1/SUMO2/TRAF5/LTBR/CUL3/JUN/BLZF1/RNF20/RTN4/ZNF746/RAD18/SPART/UQCRC1/UBE2G1/UBE2L3/HERC2/MFHAS1/SLF2/VCP/MAP1LC3B2/SMG5/CAMLG/RFFL/SLC25A5/RPA2/STUB1/CUL4B/IKBKG/ERLIN1/ACTG1/EIF4E2/TRAF6/MC1R/UBE2J1/UBE2D4/BAG5/PXN/RNF31" 100
"GO:0044389" "GO:0044389" "ubiquitin-like protein ligase binding" "104/3421" "308/17697" 1.16537382777153e-09 6.66593829485318e-07 5.93113942871092e-07 "TMBIM6/BID/GABARAPL1/PRKAR1A/CACUL1/UBE2D1/UBC/RALB/CASP8/APC/TRIB1/BRCA1/NFKBIA/ABI2/TNFRSF1B/SPOPL/ARRB2/TUBA1B/MUL1/GABARAP/CEBPB/BCL10/SQSTM1/TPI1/SMAD3/HSPA1A/FHIT/HIF1A/SPOP/ATF6/XRCC5/PIAS1/CXCR4/TANK/YWHAZ/BECN1/LYN/MAP1LC3A/HSPA1L/ITCH/DNAJA1/TXNIP/SUMO1/DET1/TSG101/TNFRSF14/RNF34/UBE2W/USP19/TRAF3/UBE2J2/JAK1/GPI/UBXN1/ARRDC1/PRKN/BCL2/NEDD8/TRAF1/TRIOBP/JKAMP/UBE2D3/USP13/PER3/OTUB1/SUMO2/TRAF5/LTBR/CUL3/JUN/BLZF1/RNF20/RTN4/ZNF746/RAD18/SPART/UQCRC1/UBE2G1/UBE2L3/HERC2/MFHAS1/SLF2/VCP/MAP1LC3B2/SMG5/CAMLG/RFFL/SLC25A5/RPA2/SUMO4/STUB1/CUL4B/IKBKG/ERLIN1/ACTG1/EIF4E2/TRAF6/PRR7/MC1R/UBE2J1/UBE2D4/BAG5/PXN/RNF31" 104
"GO:0004842" "GO:0004842" "ubiquitin-protein transferase activity" "118/3421" "382/17697" 3.31932356965363e-08 1.03235379934277e-05 9.18555506040171e-06 "HECW2/RNF130/TOPORS/PELI2/RNF149/RNF41/RNF13/MYLIP/KLHL21/PELI1/IRF2BPL/FBXL5/UBE2D1/RNF19B/RNF145/BTRC/PPP1R11/BRCA1/TRIM21/PJA2/RNF141/RNF214/COP1/MED11/AREL1/UBR2/KCMF1/MUL1/RNF146/CDC42/FBXO25/TRIM27/SIAH1/SEL1L/RLIM/FBXL3/RNF181/UBE3D/MED30/UBE2R2/RC3H1/FBXL13/FBXL17/BRAP/MSL2/RNF185/MAEA/RNF103/UBE2O/ITCH/MED31/ANAPC11/RNF144A/TRIM69/RNF144B/RNF34/UBE2W/TRAF3/UBE2J2/PRKN/HACE1/VHL/UBE2D3/RNF135/NFX1/UBE2V1/RBCK1/RNF111/NEURL2/RNF168/XIAP/TRIM25/HECTD4/CUL3/LMO7/UBE2Q1/IRF2BP1/ANAPC1/TRIM24/RABGEF1/RNF20/UBE3C/RAD18/MGRN1/HUWE1/GID4/RNF24/UBE2G1/UBE2L3/RNF113A/HERC2/CBLB/RFFL/MED27/RNF4/UBE2E2/TRIM23/KCTD10/KLHL42/STUB1/RNF157/WWP1/FBXO30/TRAF6/MYCBP2/TTC3/ASB1/UBE2J1/RNF139/NHLRC3/UBE2D4/UBR7/TNFAIP1/ASB2/CHFR/RNF115/RNF31/ANAPC4" 118
"GO:0019787" "GO:0019787" "ubiquitin-like protein transferase activity" "124/3421" "407/17697" 3.60962866903066e-08 1.03235379934277e-05 9.18555506040171e-06 "HECW2/RNF130/TOPORS/PELI2/RNF149/RNF41/RNF13/MYLIP/KLHL21/PELI1/IRF2BPL/FBXL5/UBE2D1/RNF19B/RNF145/BTRC/PPP1R11/BRCA1/TRIM21/PJA2/RNF141/RNF214/COP1/MED11/ATG3/AREL1/UBR2/KCMF1/MUL1/RNF146/CDC42/FBXO25/TRIM27/SIAH1/SEL1L/RLIM/FBXL3/RNF181/CBX4/UBE3D/MED30/PIAS1/UBE2R2/RC3H1/FBXL13/FBXL17/BRAP/MSL2/RNF185/MAEA/RNF103/UBE2O/ITCH/MED31/ANAPC11/RNF144A/TRIM69/RNF144B/RNF34/UBE2W/TRAF3/UBE2J2/PRKN/HACE1/VHL/UBE2D3/RNF135/NFX1/UBE2V1/RBCK1/RNF111/NEURL2/RNF168/XIAP/TRIM25/HECTD4/CUL3/LMO7/UBE2Q1/IRF2BP1/ANAPC1/TRIM24/RABGEF1/RNF20/UBE3C/UBL4A/RAD18/MGRN1/HUWE1/GID4/RNF24/UBE2G1/UBE2L3/RNF113A/ZBED1/HERC2/CBLB/NSMCE2/RFFL/MED27/RNF4/UBE2E2/TRIM23/KCTD10/KLHL42/STUB1/RNF157/WWP1/FBXO30/TRAF6/MYCBP2/TTC3/ASB1/UBE2J1/RNF139/NHLRC3/UBE2D4/UBR7/TNFAIP1/ASB2/CHFR/RNF115/RNF31/ANAPC4" 124
"GO:0061630" "GO:0061630" "ubiquitin protein ligase activity" "76/3421" "221/17697" 8.25447757498399e-08 1.88862446915634e-05 1.68043785579148e-05 "HECW2/RNF130/TOPORS/PELI2/RNF149/RNF41/RNF13/MYLIP/PELI1/IRF2BPL/RNF19B/RNF145/BTRC/PPP1R11/PJA2/COP1/MED11/AREL1/UBR2/KCMF1/RNF146/CDC42/TRIM27/SIAH1/RLIM/FBXL3/RNF181/UBE3D/MED30/RC3H1/FBXL17/BRAP/MSL2/RNF185/RNF103/UBE2O/ITCH/MED31/ANAPC11/RNF144A/RNF144B/RNF34/PRKN/HACE1/VHL/NFX1/RNF111/NEURL2/XIAP/TRIM25/IRF2BP1/ANAPC1/TRIM24/RABGEF1/RAD18/MGRN1/HUWE1/GID4/RNF24/CBLB/RFFL/MED27/STUB1/RNF157/WWP1/FBXO30/TRAF6/MYCBP2/ASB1/RNF139/NHLRC3/UBR7/ASB2/CHFR/RNF115/ANAPC4" 76
"GO:0061659" "GO:0061659" "ubiquitin-like protein ligase activity" "77/3421" "230/17697" 2.38930912587194e-07 4.5556160666625e-05 4.05344197318977e-05 "HECW2/RNF130/TOPORS/PELI2/RNF149/RNF41/RNF13/MYLIP/PELI1/IRF2BPL/RNF19B/RNF145/BTRC/PPP1R11/PJA2/COP1/MED11/AREL1/UBR2/KCMF1/RNF146/CDC42/TRIM27/SIAH1/RLIM/FBXL3/RNF181/UBE3D/MED30/PIAS1/RC3H1/FBXL17/BRAP/MSL2/RNF185/RNF103/UBE2O/ITCH/MED31/ANAPC11/RNF144A/RNF144B/RNF34/PRKN/HACE1/VHL/NFX1/RNF111/NEURL2/XIAP/TRIM25/IRF2BP1/ANAPC1/TRIM24/RABGEF1/RAD18/MGRN1/HUWE1/GID4/RNF24/CBLB/RFFL/MED27/STUB1/RNF157/WWP1/FBXO30/TRAF6/MYCBP2/ASB1/RNF139/NHLRC3/UBR7/ASB2/CHFR/RNF115/ANAPC4" 77
"GO:0004674" "GO:0004674" "protein serine/threonine kinase activity" "125/3421" "439/17697" 1.81175080508844e-06 0.000296091845860168 0.000263453086995568 "TGFBR2/MAP2K4/RAF1/MAP3K2/PIK3CG/AATK/CSNK2A2/SNRK/VRK3/RPS6KA1/MAPK1/MAPK3/STK4/CAB39/AKT1/STK38L/MAPKAPK5/ACVR1/TTN/MAP3K5/MAPKAPK3/SGK1/PPM1D/LATS2/MAST4/TLK2/SQSTM1/DYRK1A/NEK7/MAPK14/STK19/DAPK3/ROCK1/AAK1/DAPK2/PRKCB/STK39/CHUK/SRPK2/LRRK2/CDK19/LATS1/PAK1/LIMK2/CDK7/SLK/SRPK1/CASK/CDK6/MAP3K8/PRKCZ/STK26/SMG1/SYK/STK17B/HIPK3/TGFBR1/MAP3K11/NUAK2/PIM3/BCKDK/TBK1/PKN2/MAPKAPK2/MAP2K5/MKNK2/GRK6/PRKAG1/LMTK2/TSSK6/PDK3/MLKL/CAMKK2/STK40/CDK14/STK16/MAP3K4/TNIK/CAMK2G/CLK3/AKT3/GRK5/MYLK/NRBP2/PASK/CSNK1G2/DSTYK/CLK4/PHKG2/PRKCD/TRIO/EIF2AK4/DCAF1/CLK1/MAPK13/ALPK1/STK35/CDC42BPB/NEK1/ATR/SRPK3/PIK3CA/PHKA1/ULK2/TESK2/ULK4/GRK2/ILK/ULK1/MAST3/EIF2AK1/RIPK2/MARK2/TRPM6/PRKCA/BMPR2/CDK11A/MAK/SIK2/CDK3/MTOR/IRAK2/ACVR2A/WNK1/PRKCE" 125
"GO:0019902" "GO:0019902" "phosphatase binding" "62/3421" "185/17697" 3.29202682762194e-06 0.000470759836349938 0.000418867097672423 "BOD1L1/GRB2/VRK3/PPP1R15A/MAPK1/MAPK3/AKT1/CDKN1B/PPP1R11/TRPC4AP/HMGCR/MAP3K5/MVP/SIRPA/SMAD3/IRS2/MAPK14/SKAP1/STAT6/STAT3/FCRL3/SHOC2/ELL/SPHK1/PPP1CA/BAD/NFATC2/SYK/TCTEX1D4/EIF4EBP1/STYXL1/TBK1/TRAF3/CADM4/JAK1/IQGAP1/BCL2/PPP1R35/PPME1/PIK3R2/RCAN3/IGBP1/PPP3CB/CDC5L/STRN4/DLG1/PPP1R18/MFHAS1/PPARA/VCP/SMG5/MTMR3/CARHSP1/RPA2/SLC9A3R1/GTF2F1/AKAP11/LILRB2/PXN/WNK1/AP3B1/ANAPC4" 62
"GO:0004722" "GO:0004722" "protein serine/threonine phosphatase activity" "32/3421" "76/17697" 4.22059956004502e-06 0.000536485099632389 0.000477347342054215 "PPP1R3D/PPP4R1/PPP4C/PTEN/PPM1D/MTMR6/PPM1F/SSU72/PPM1M/SHOC2/ILKAP/PPP3CA/DUSP1/PPP2CA/PPP1CA/UBLCP1/DUSP23/CTDSP1/PPM1B/PPTC7/MYH3/CAMK2G/PPP3CB/PHLPP1/CTDP1/MTMR3/PPP2R2D/PPP3CC/CDC14A/PPM1L/CDC14B/PHLPP2" 32
"GO:0071889" "GO:0071889" "14-3-3 protein binding" "16/3421" "29/17697" 1.88886308836025e-05 0.00216085937308413 0.00192266379625723 "AKT1/ZFP36/ARRB2/IRS2/SRPK2/BAD/PRKCZ/PPP1R12A/ZFP36L1/KIF13B/HLA-F/NEK1/FOXK1/RIPOR1/RPTOR/PRKCE" 16
