"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"WP3937" "WP3937" "Microglia pathogen phagocytosis pathway" "24/1586" "40/7782" 4.67803597275449e-08 2.01516258626894e-05 1.48712129423106e-05 "7305/4688/4689/54210/1535/5294/5879/653361/7409/10095/3055/2207/4067/5880/27036/5336/6850/5293/5296/5777/10451/5290/3689/3684" 24
"WP286" "WP286" "IL-3 signaling pathway" "27/1586" "49/7782" 8.21243559146607e-08 2.01516258626894e-05 1.48712129423106e-05 "5894/1439/2885/5594/5595/207/7409/6777/3055/9846/6774/4067/572/6850/5293/3716/6776/596/5169/5296/3563/5777/3725/942/7529/3717/2534" 27
"WP2034" "WP2034" "Leptin signaling pathway" "36/1586" "76/7782" 1.07570956562399e-07 2.01516258626894e-05 1.48712129423106e-05 "5894/387/2885/31/5879/6195/5594/5595/3557/207/5728/3553/6777/998/1432/6093/6774/1147/572/5336/5140/581/6667/1978/1385/3716/5335/5296/2099/8648/3717/3840/8517/2534/3952/2475" 36
"WP69" "WP69" "T-cell receptor signaling pathway" "40/1586" "91/7782" 2.70987849336229e-07 3.80737928317402e-05 2.80971612206511e-05 "1398/5894/2885/5594/5595/207/4792/355/7409/3553/28988/998/8915/1432/9846/8631/1147/5058/4773/1326/1385/7454/5335/7431/9051/3937/5296/3708/3725/10451/3702/2625/916/5580/2533/868/8767/8517/7189/2534" 40
"WP2272" "WP2272" "Pathogenic Escherichia coli infection" "28/1586" "55/7782" 4.32594238341321e-07 4.59393221738927e-05 3.39016537488551e-05 "7099/387/3059/10552/10094/10092/7846/10093/10109/7277/10376/998/10095/100506658/6093/7534/84617/7454/23643/929/10383/84790/9181/5578/71/60/2534/3875" 28
"WP1433" "WP1433" "Nucleotide-binding oligomerization domain (NOD) pathway" "23/1586" "41/7782" 4.90455396874299e-07 4.59393221738927e-05 3.39016537488551e-05 "91662/29108/5879/841/4210/4792/3553/842/834/1147/114548/84674/55914/331/58484/64127/3606/10392/8767/8517/10910/10980/51079" 23
"WP4217" "WP4217" "Ebola virus infection in host" "51/1586" "132/7782" 9.15216889938276e-07 6.75125760059129e-05 4.98219796709678e-05 "3385/3133/11314/7099/388/3678/387/5879/5594/5595/207/2621/10577/57617/998/87/5058/3107/7251/5868/84868/3105/1211/29110/5293/8826/4864/5296/3123/3106/7074/2934/3676/3836/3134/64601/5290/5971/4240/3122/3108/7879/432/3115/71/81/60/3113/684/27072/3665" 51
"WP23" "WP23" "B cell receptor signaling pathway" "41/1586" "98/7782" 9.61033110404454e-07 6.75125760059129e-05 4.98219796709678e-05 "7462/1398/5894/3059/2885/5294/5879/6195/5594/207/4792/7409/5788/998/8915/1432/9846/5579/27071/604/1147/4067/5880/4773/5336/4149/6850/1385/5335/2113/5296/5777/3725/5580/2549/8395/8517/2534/2969/695/118788" 41
"WP254" "WP254" "Apoptosis" "37/1586" "86/7782" 1.43526788223218e-06 8.96245055349427e-05 6.61398298946758e-05 "27113/8772/6416/637/837/8837/4170/3659/841/207/8743/4792/317/355/7133/7132/842/8795/834/1147/3660/572/5366/581/7187/578/3070/596/7185/331/3725/9169/56616/4794/8517/4793/3665" 37
"WP4255" "WP4255" "Non-small cell lung cancer" "32/1586" "72/7782" 3.13854668029346e-06 0.000176386323432492 0.000130167093898487 "637/5894/2885/4616/5594/5595/6789/841/83593/207/6777/842/2272/6655/6774/5579/572/1021/5336/7039/581/578/5293/6776/5335/5296/6256/10000/6257/5290/5578/27436" 32
