"SYMBOL" "ENTREZID"
"1" "LAT2" "7462"
"2" "MSRB1" "51734"
"3" "GPR27" "2850"
"4" "HECW2" "57520"
"5" "C5AR2" "27202"
"6" "ICAM3" "3385"
"7" "ORAI3" "93129"
"8" "TNFRSF12A" "51330"
"9" "SH3BP5L" "80851"
"10" "FAM174A" "345757"
"11" "NKAPL" "222698"
"12" "IKBIP" "121457"
"13" "PSENEN" "55851"
"14" "ATP6V0B" "533"
"15" "RNF130" "55819"
"16" "TYROBP" "7305"
"17" "ITM2B" "9445"
"18" "NLRP12" "91662"
"19" "ROPN1L" "83853"
"20" "TNFSF14" "8740"
"21" "MSL1" "339287"
"22" "IL10RB" "3588"
"23" "TMEM91" "641649"
"24" "KCNE3" "10008"
"25" "NAIF1" "203245"
"26" "NUP214" "8021"
"27" "FRAT2" "23401"
"28" "TSEN34" "79042"
"29" "ARL11" "115761"
"30" "TMEM71" "137835"
"31" "CEP19" "84984"
"32" "IFNGR2" "3460"
"33" "SLC2A3" "6515"
"34" "RNF169" "254225"
"35" "SDCBP" "6386"
"36" "CA4" "762"
"37" "GPR15" "2838"
"38" "CXCR1" "3577"
"39" "TMEM120A" "83862"
"40" "CDC42SE1" "56882"
"41" "CINP" "51550"
"42" "IL16" "3603"
"43" "BOD1L1" "259282"
"44" "ALOX5AP" "241"
"45" "TPD52L2" "7165"
"46" "TMCC3" "57458"
"47" "EGLN1" "54583"
"48" "FRAT1" "10023"
"49" "BTNL8" "79908"
"50" "GPAT3" "84803"
"51" "FCGR2A" "2212"
"52" "ACSS3" "79611"
"53" "TOPORS" "10210"
"54" "TM6SF1" "53346"
"55" "ST8SIA4" "7903"
"56" "ZBTB34" "403341"
"58" "IGSF6" "10261"
"59" "MPZ" "4359"
"60" "NCF2" "4688"
"61" "NRBF2" "29982"
"62" "ABHD5" "51099"
"63" "PPP1R3D" "5509"
"64" "RPGRIP1" "57096"
"65" "TNFRSF10C" "8794"
"66" "BBC3" "27113"
"67" "CCPG1" "9236"
"68" "MPZL3" "196264"
"69" "SNX11" "29916"
"70" "ABCG1" "9619"
"71" "HSDL2" "84263"
"72" "KIAA0232" "9778"
"73" "ARHGDIB" "397"
"74" "ERGIC1" "57222"
"75" "TMX4" "56255"
"76" "RAB35" "11021"
"77" "CMTM2" "146225"
"78" "BMX" "660"
"80" "TGFBR2" "7048"
"81" "RASSF2" "9770"
"82" "ZNF486" "90649"
"83" "GLIPR2" "152007"
"84" "CDYL2" "124359"
"85" "HSD17B11" "51170"
"86" "HLA-E" "3133"
"87" "PIP4P2" "55529"
"88" "LRRC4" "64101"
"89" "FADD" "8772"
"90" "NEU1" "4758"
"91" "QPCT" "25797"
"92" "LITAF" "9516"
"93" "INKA2" "55924"
"94" "PSMB3" "5691"
"95" "TMEM81" "388730"
"96" "DGAT2" "84649"
"97" "PELI2" "57161"
"98" "CD300A" "11314"
"99" "MNDA" "4332"
"100" "TMBIM6" "7009"
"101" "CEP63" "80254"
"102" "CLDN10" "9071"
"103" "RNF149" "284996"
"104" "LAMP2" "3920"
"105" "PHF23" "79142"
"106" "DOK1" "1796"
"107" "PPP1R3B" "79660"
"108" "ZNF267" "10308"
"109" "MTX1" "4580"
"110" "EDEM2" "55741"
"111" "PACSIN2" "11252"
"112" "FPR1" "2357"
"113" "ZNF18" "7566"
"114" "ABHD16A" "7920"
"115" "CRK" "1398"
"116" "TLR1" "7096"
"117" "PRRG4" "79056"
"118" "USP10" "9100"
"119" "JDP2" "122953"
"120" "TAF12" "6883"
"121" "AQP9" "366"
"122" "NCF4" "4689"
"124" "CMTM6" "54918"
"125" "CEACAM4" "1089"
"126" "PTAFR" "5724"
"127" "ZNF487" "642819"
"128" "RNF41" "10193"
"129" "ZBTB18" "10472"
"130" "NAMPT" "10135"
"131" "RNF13" "11342"
"132" "LRMP" "4033"
"133" "SELPLG" "6404"
"134" "CHMP1B" "57132"
"135" "XKR8" "55113"
"136" "MYLIP" "29116"
"137" "ANP32A" "8125"
"138" "DDAH2" "23564"
"141" "FCGRT" "2217"
"142" "HLX" "3142"
"143" "RRM2B" "50484"
"144" "ISY1" "57461"
"145" "CREBRF" "153222"
"146" "MAP2K4" "6416"
"147" "VASP" "7408"
"148" "EGLN2" "112398"
"149" "CWC25" "54883"
"150" "HCAR2" "338442"
"151" "PGLS" "25796"
"152" "ARHGAP25" "9938"
"153" "ZNF217" "7764"
"154" "CCDC28A" "25901"
"155" "RFC2" "5982"
"156" "SRGN" "5552"
"157" "SOWAHD" "347454"
"158" "TLR4" "7099"
"159" "BID" "637"
"160" "CASP4" "837"
