"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0006778" "GO:0006778" "porphyrin-containing compound metabolic process" "10/514" "38/18670" 5.41968532842316e-08 0.000238520351303903 0.000117009094133576 "UROS/SLC11A2/HMBS/SLC25A39/SRRD/EIF2AK1/FECH/PPOX/UROD/BLVRB" 10
"GO:0006783" "GO:0006783" "heme biosynthetic process" "8/514" "22/18670" 7.11527345794473e-08 0.000313143184884148 0.000117009094133576 "UROS/SLC11A2/HMBS/SLC25A39/SRRD/FECH/PPOX/UROD" 8
"GO:0042168" "GO:0042168" "heme metabolic process" "9/514" "31/18670" 9.95527428862554e-08 0.00043813162144241 0.000117009094133576 "UROS/SLC11A2/HMBS/SLC25A39/SRRD/FECH/PPOX/UROD/BLVRB" 9
"GO:0051188" "GO:0051188" "cofactor biosynthetic process" "28/514" "326/18670" 1.14685209622798e-07 0.000504729607549936 0.000117009094133576 "UROS/SLC11A2/ACSL1/HMBS/COQ6/HAGH/NAMPT/NUP88/HSD17B8/SLC25A39/ENTPD5/PDK2/HIF1A/PPT2/GCLC/NUP93/SRRD/SNCA/ATIC/FECH/PFKFB3/PPOX/NAXD/PDHA1/UROD/SLC4A1/GGT5/PGM1" 28
"GO:0046501" "GO:0046501" "protoporphyrinogen IX metabolic process" "6/514" "11/18670" 1.73768436902272e-07 0.000764754890806901 0.000141831627341076 "UROS/HMBS/EIF2AK1/FECH/PPOX/UROD" 6
"GO:0006779" "GO:0006779" "porphyrin-containing compound biosynthetic process" "8/514" "26/18670" 3.15435126078691e-07 0.00138822998987232 0.000214551225229313 "UROS/SLC11A2/HMBS/SLC25A39/SRRD/FECH/PPOX/UROD" 8
"GO:0033014" "GO:0033014" "tetrapyrrole biosynthetic process" "8/514" "29/18670" 8.05763934300448e-07 0.00354616707485627 0.000469766432072607 "UROS/SLC11A2/HMBS/SLC25A39/SRRD/FECH/PPOX/UROD" 8
"GO:0048821" "GO:0048821" "erythrocyte development" "8/514" "33/18670" 2.36557824002952e-06 0.0104109098343699 0.0012067561627098 "SLC11A2/TRIM58/GATA1/DMTN/EPB42/TAL1/BCL6/SLC4A1" 8
"GO:0042440" "GO:0042440" "pigment metabolic process" "11/514" "71/18670" 3.56095853511836e-06 0.0156717785130559 0.00161471768896537 "UROS/SLC11A2/HMBS/SLC25A39/BCL2/APRT/SRRD/FECH/PPOX/UROD/BLVRB" 11
"GO:0033013" "GO:0033013" "tetrapyrrole metabolic process" "10/514" "60/18670" 5.02110769398289e-06 0.0220978949612187 0.00204914047679702 "UROS/SLC11A2/HMBS/SLC25A39/SRRD/EIF2AK1/FECH/PPOX/UROD/BLVRB" 10
"GO:0006732" "GO:0006732" "coenzyme metabolic process" "28/514" "403/18670" 7.6624760049954e-06 0.0337225568979848 0.00284281526041791 "VNN3/ACSL1/VNN2/COQ6/PCCB/SLC2A3/CYP4F2/NAMPT/NUP88/HSD17B8/DGAT2/ENTPD5/PDK2/HIF1A/MCCC2/PPT2/GCLC/NUP93/SNCA/ATIC/PFKFB3/THTPA/NT5E/NAXD/PDHA1/SLC4A1/SLC2A1/PGM1" 28
"GO:0046148" "GO:0046148" "pigment biosynthetic process" "9/514" "56/18670" 2.02922620401595e-05 0.0893062452387418 0.0069011491166402 "UROS/SLC11A2/HMBS/SLC25A39/APRT/SRRD/FECH/PPOX/UROD" 9
