"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0101002" "GO:0101002" "ficolin-1-rich granule" "17/525" "185/19717" 9.74592191121624e-06 0.00488270687751933 0.004739595708402 "FPR2/SLC2A3/CRISPLD2/APAF1/QPCT/MVP/FCAR/MNDA/PYGL/CAB39/KPNB1/LAMP1/CR1/LAMP2/FPR1/CD93/PGM1" 17
"GO:0030667" "GO:0030667" "secretory granule membrane" "20/525" "298/19717" 0.000155467631879603 0.0778892835716811 0.033083420302643 "HYAL3/FPR2/SLC2A3/CA4/CXCR1/FCGR2A/MME/FCAR/SNCA/IQGAP1/CAV1/SLCO4C1/CXCR2/LAMP1/CR1/BSG/LAMP2/ADGRG3/FPR1/CD93" 20
"GO:0101003" "GO:0101003" "ficolin-1-rich granule membrane" "8/525" "61/19717" 0.000204086034334486 0.102247103201578 0.033083420302643 "FPR2/SLC2A3/FCAR/LAMP1/CR1/LAMP2/FPR1/CD93" 8
"GO:0005759" "GO:0005759" "mitochondrial matrix" "25/525" "469/19717" 0.000851081825935795 0.426391994793833 0.078195332151535 "BCL2L1/SOD2/MRRF/PCCB/HAGH/SMDT1/MRPS5/HSD17B8/PARS2/PDK2/MCCC2/SNCA/MRPL14/ACSS3/FECH/NDUFS8/RNASEL/FAHD1/NAXD/TXNRD2/NUDT1/PDHA1/FARS2/TRAP1/MRPL23" 25
"GO:0009898" "GO:0009898" "cytoplasmic side of plasma membrane" "12/525" "154/19717" 0.000876055171186582 0.438903640764478 0.078195332151535 "LITAF/SYAP1/GNA12/AKAP5/SPTB/IQGAP1/RGS2/OSBPL2/SLC4A1/ANK1/SNX5/CACNB4" 12
"GO:0005741" "GO:0005741" "mitochondrial outer membrane" "13/525" "178/19717" 0.000993196149474219 0.497591270886584 0.078195332151535 "SLC11A2/BCL2L1/ACSL1/MARC1/BCL2/FUNDC2/SNCA/FIS1/TOMM6/MCL1/AKAP1/RTN4IP1/RAF1" 13
"GO:0019867" "GO:0019867" "outer membrane" "14/525" "203/19717" 0.00112553887187815 0.563894974810955 0.078195332151535 "SLC11A2/BCL2L1/ACSL1/MARC1/ANKH/BCL2/FUNDC2/SNCA/FIS1/TOMM6/MCL1/AKAP1/RTN4IP1/RAF1" 14
"GO:0045121" "GO:0045121" "membrane raft" "18/525" "315/19717" 0.00206995594731888 1 0.110840206246891 "CFLAR/MAPK3/MME/PRKCZ/ARID3A/PACSIN2/AKAP5/IQGAP1/KCNE1/KCNA3/TNF/CAV1/STOML2/BSG/LAMP2/LAT2/EHD2/SLC2A1" 18
"GO:0098857" "GO:0098857" "membrane microdomain" "18/525" "316/19717" 0.00214237887593324 1 0.110840206246891 "CFLAR/MAPK3/MME/PRKCZ/ARID3A/PACSIN2/AKAP5/IQGAP1/KCNE1/KCNA3/TNF/CAV1/STOML2/BSG/LAMP2/LAT2/EHD2/SLC2A1" 18
"GO:0033116" "GO:0033116" "endoplasmic reticulum-Golgi intermediate compartment membrane" "7/525" "71/19717" 0.00278565279663751 1 0.110840206246891 "PRRG4/ERGIC1/TGFA/GOLGA2/ERGIC3/WHAMM/GOSR2" 7
