"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"hsa04140" "hsa04140" "Autophagy - animal" "15/260" "141/8163" 3.95706739652899e-05 0.0115942074718299 0.0102050685489432 "23710/598/8837/5595/6794/29982/84335/596/3091/8660/5296/3916/3920/23604/5894" 15
"hsa04066" "hsa04066" "HIF-1 signaling pathway" "12/260" "109/8163" 0.000169793633526106 0.0248747673115745 0.02189444221784 "5595/596/3091/1026/5209/5296/3570/5160/54583/6513/7099/6923" 12
"hsa05211" "hsa05211" "Renal cell carcinoma" "9/260" "69/8163" 0.000312605492747885 0.0305311364583768 0.0268731037625375 "7039/5595/3091/1026/5296/54583/6513/5894/6923" 9
"hsa05160" "hsa05160" "Hepatitis C" "13/260" "157/8163" 0.00146694034819328 0.0867505779950206 0.0763567149587931 "9071/8837/5595/317/1026/1021/27102/1870/6041/7124/5296/3454/5894" 13
"hsa05230" "hsa05230" "Central carbon metabolism in cancer" "8/260" "70/8163" 0.00162485951058796 0.0867505779950206 0.0763567149587931 "5595/8140/3091/6510/5296/5160/6513/5894" 8
"hsa05152" "hsa05152" "Tuberculosis" "14/260" "180/8163" 0.0017764623480209 0.0867505779950206 0.0763567149587931 "26253/5595/317/2212/596/9902/7124/3916/1378/3920/4046/7099/2213/5894" 14
"hsa00860" "hsa00860" "Porphyrin metabolism" "6/260" "43/8163" 0.00223183157380914 0.093418093018011 0.0822253737719156 "7390/3145/2235/5498/7389/645" 6
"hsa05212" "hsa05212" "Pancreatic cancer" "8/260" "76/8163" 0.00275519143350678 0.100908886252186 0.0888186712117317 "598/7039/5595/1026/1021/1870/5296/5894" 8
"hsa04210" "hsa04210" "Apoptosis" "11/260" "136/8163" 0.00400402175464952 0.130353152679145 0.114735126302823 "598/4001/8837/5595/317/596/1439/4170/7124/5296/5894" 11
"hsa04664" "hsa04664" "Fc epsilon RI signaling pathway" "7/260" "68/8163" 0.00567089861771324 0.166157329498998 0.146249490667341 "5595/241/7409/7124/5296/6416/5894" 7
"hsa05225" "hsa05225" "Hepatocellular carcinoma" "12/260" "168/8163" 0.00729890828253475 0.181912394262257 0.160116890943966 "598/7039/5595/1026/1021/1870/5296/10587/6602/11211/5894/8325" 12
"hsa05223" "hsa05223" "Non-small cell lung cancer" "7/260" "72/8163" 0.00774136651815062 0.181912394262257 0.160116890943966 "7039/5595/1026/1021/1870/5296/5894" 7
"hsa05219" "hsa05219" "Bladder cancer" "5/260" "41/8163" 0.00926025946949363 0.181912394262257 0.160116890943966 "5595/1026/1870/23604/5894" 5
"hsa05214" "hsa05214" "Glioma" "7/260" "75/8163" 0.00962633195862271 0.181912394262257 0.160116890943966 "7039/5595/1026/1021/1870/5296/5894" 7
"hsa05220" "hsa05220" "Chronic myeloid leukemia" "7/260" "76/8163" 0.0103234041858084 0.181912394262257 0.160116890943966 "598/5595/1026/1021/1870/5296/5894" 7
"hsa04150" "hsa04150" "mTOR signaling pathway" "11/260" "156/8163" 0.0109737928899036 0.181912394262257 0.160116890943966 "9296/5595/8140/6794/84335/51719/7124/5296/11211/5894/8325" 11
"hsa05215" "hsa05215" "Prostate cancer" "8/260" "97/8163" 0.0119422877916789 0.181912394262257 0.160116890943966 "7850/7039/5595/596/1026/1870/5296/5894" 8
"hsa01521" "hsa01521" "EGFR tyrosine kinase inhibitor resistance" "7/260" "79/8163" 0.0126350680427524 0.181912394262257 0.160116890943966 "598/7039/5595/596/5296/3570/5894" 7
"hsa01522" "hsa01522" "Endocrine resistance" "8/260" "98/8163" 0.0126572740217621 0.181912394262257 0.160116890943966 "5595/10498/596/1026/1870/4854/5296/5894" 8
"hsa05162" "hsa05162" "Measles" "10/260" "139/8163" 0.013142579295808 0.181912394262257 0.160116890943966 "598/317/596/1021/27102/5296/3454/4793/7099/2213" 10
