"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0061631" "GO:0061631" "ubiquitin conjugating enzyme activity" "6/514" "38/17697" 0.000730202103612048 0.251507039083842 0.244025136319334 "UBE2E2/UBE2V1/UBE2G2/CDC34/UBE2O/UBE2L5" 6
"GO:0061650" "GO:0061650" "ubiquitin-like protein conjugating enzyme activity" "6/514" "40/17697" 0.000966714883642046 0.251507039083842 0.244025136319334 "UBE2E2/UBE2V1/UBE2G2/CDC34/UBE2O/UBE2L5" 6
"GO:0016755" "GO:0016755" "transferase activity, transferring amino-acyl groups" "4/514" "18/17697" 0.00155627113253648 0.251507039083842 0.244025136319334 "QPCT/EPB42/ATE1/GGT5" 4
"GO:0051400" "GO:0051400" "BH domain binding" "3/514" "10/17697" 0.00250972915377963 0.251507039083842 0.244025136319334 "BCL2L1/BCL2/MCL1" 3
"GO:0070513" "GO:0070513" "death domain binding" "3/514" "10/17697" 0.00250972915377963 0.251507039083842 0.244025136319334 "BCL2L1/BCL2/MCL1" 3
"GO:0019903" "GO:0019903" "protein phosphatase binding" "11/514" "140/17697" 0.00260473816584786 0.251507039083842 0.244025136319334 "BOD1L1/PTPA/MVP/BCL2/CADM4/AKAP5/IRS2/IQGAP1/PIK3R2/SNX3/ANK1" 11
"GO:0015485" "GO:0015485" "cholesterol binding" "6/514" "49/17697" 0.00282711891801174 0.251507039083842 0.244025136319334 "OSBP2/ABCG1/CAV1/SYP/OSBPL2/GRAMD1C" 6
"GO:0019902" "GO:0019902" "phosphatase binding" "13/514" "185/17697" 0.00299077507692788 0.251507039083842 0.244025136319334 "BOD1L1/MAPK3/PTPA/MVP/BCL2/CADM4/SH3GL1/AKAP5/IRS2/IQGAP1/PIK3R2/SNX3/ANK1" 13
"GO:0016829" "GO:0016829" "lyase activity" "13/514" "187/17697" 0.00328052659674577 0.251507039083842 0.244025136319334 "UROS/POLL/CA4/HAL/ALOX5AP/ODC1/APMAP/FECH/FAHD1/NAXD/PTGES2/TSEN34/UROD" 13
"GO:0004842" "GO:0004842" "ubiquitin-protein transferase activity" "21/514" "382/17697" 0.0040765690972392 0.281283267709505 0.272915573246751 "HECW2/TSPAN17/SIAH2/RNF149/UBE2E2/UBE2V1/UBE2G2/MED27/CDC34/UBE2O/TRIM58/RNF187/FBXL13/SHARPIN/RNF112/RNF126/UBE2L5/MKRN1/BTRC/UBE3D/RNF123" 21
"GO:0008198" "GO:0008198" "ferrous iron binding" "4/514" "24/17697" 0.00470904932288447 0.295385821162753 0.286598599938232 "SNCA/FECH/EGLN1/ALKBH3" 4
"GO:0032934" "GO:0032934" "sterol binding" "6/514" "56/17697" 0.00553756397756873 0.318409928710202 0.308937779801203 "OSBP2/ABCG1/CAV1/SYP/OSBPL2/GRAMD1C" 6
"GO:0016667" "GO:0016667" "oxidoreductase activity, acting on a sulfur group of donors" "6/514" "58/17697" 0.00657665822009625 0.335951152226162 0.325957182022637 "PCYOX1L/SELENBP1/PTGES2/TXNRD2/SUMF1/CCS" 6
"GO:0004896" "GO:0004896" "cytokine receptor activity" "8/514" "96/17697" 0.00681640019009603 0.335951152226162 0.325957182022637 "IL1R2/IL18R1/CXCR1/CSF2RB/IL1RAP/CXCR2/IL6R/IFNAR1" 8
"GO:0019787" "GO:0019787" "ubiquitin-like protein transferase activity" "21/514" "407/17697" 0.008229915516441 0.337504377110884 0.327464201132757 "HECW2/TSPAN17/SIAH2/RNF149/UBE2E2/UBE2V1/UBE2G2/MED27/CDC34/UBE2O/TRIM58/RNF187/FBXL13/SHARPIN/RNF112/RNF126/UBE2L5/MKRN1/BTRC/UBE3D/RNF123" 21
"GO:0086008" "GO:0086008" "voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization" "3/514" "15/17697" 0.00854159089918822 0.337504377110884 0.327464201132757 "KCNE5/KCNJ2/KCNE1" 3
"GO:0000287" "GO:0000287" "magnesium ion binding" "13/514" "213/17697" 0.00957491778158585 0.337504377110884 0.327464201132757 "RNASEH1/PUDP/STK11/GCLC/MTPAP/SNCA/ALPP/TESC/THTPA/SRPK1/DIS3L2/PGM1/FARSB" 13
"GO:0016874" "GO:0016874" "ligase activity" "10/514" "145/17697" 0.00984527941078898 0.337504377110884 0.327464201132757 "ACSL1/PCCB/PARS2/MCCC2/GCLC/ACSS3/FARS2/UBE2L5/BTRC/FARSB" 10
"GO:0044325" "GO:0044325" "ion channel binding" "9/514" "124/17697" 0.010220354351738 0.337504377110884 0.327464201132757 "KCNE5/SH3GL1/KCNE1/USP10/CAV1/ANKRD9/FKBP1B/GRINA/ANK1" 9
"GO:0043274" "GO:0043274" "phospholipase binding" "3/514" "16/17697" 0.0102890460093558 0.337504377110884 0.327464201132757 "LMNB1/PRKCZ/SNCA" 3
"GO:0032813" "GO:0032813" "tumor necrosis factor receptor superfamily binding" "5/514" "46/17697" 0.0104252837005425 0.337504377110884 0.327464201132757 "CFLAR/TNFSF14/TNFSF11/TNF/TRAP1" 5
"GO:0005164" "GO:0005164" "tumor necrosis factor receptor binding" "4/514" "31/17697" 0.011887994451358 0.337504377110884 0.327464201132757 "TNFSF14/TNFSF11/TNF/TRAP1" 4
"GO:0015248" "GO:0015248" "sterol transporter activity" "4/514" "31/17697" 0.011887994451358 0.337504377110884 0.327464201132757 "OSBP2/ABCG1/OSBPL2/GRAMD1C" 4
"GO:0010314" "GO:0010314" "phosphatidylinositol-5-phosphate binding" "3/514" "17/17697" 0.0122284194605393 0.337504377110884 0.327464201132757 "SNX3/RUBCNL/SNX5" 3
"GO:0050811" "GO:0050811" "GABA receptor binding" "3/514" "17/17697" 0.0122284194605393 0.337504377110884 0.327464201132757 "GABARAPL1/MAF1/AKAP5" 3
"GO:0017127" "GO:0017127" "cholesterol transporter activity" "3/514" "18/17697" 0.0143628491261399 0.364091787064053 0.353260681270386 "ABCG1/OSBPL2/GRAMD1C" 3
"GO:0120020" "GO:0120020" "intermembrane cholesterol transfer activity" "3/514" "18/17697" 0.0143628491261399 0.364091787064053 0.353260681270386 "ABCG1/OSBPL2/GRAMD1C" 3
"GO:0005154" "GO:0005154" "epidermal growth factor receptor binding" "4/514" "33/17697" 0.014774739185208 0.364091787064053 0.353260681270386 "TGFA/CNOT9/RNF126/EREG" 4
"GO:0120015" "GO:0120015" "intermembrane sterol transfer activity" "3/514" "19/17697" 0.0166946764105682 0.39721816287214 0.38540160425123 "ABCG1/OSBPL2/GRAMD1C" 3
"GO:0031418" "GO:0031418" "L-ascorbic acid binding" "3/514" "20/17697" 0.0192255026979572 0.442186562053015 0.42903227073336 "PLOD1/EGLN1/ALKBH3" 3
"GO:0005496" "GO:0005496" "steroid binding" "7/514" "95/17697" 0.0206422924523894 0.459457477166087 0.445789405762977 "OSBP2/PAQR8/ABCG1/CAV1/SYP/OSBPL2/GRAMD1C" 7
"GO:0048029" "GO:0048029" "monosaccharide binding" "6/514" "75/17697" 0.0217297394889621 0.468547507730745 0.454609023519075 "SLC2A3/PLOD1/PYGL/BSG/EGLN1/ALKBH3" 6
"GO:0043621" "GO:0043621" "protein self-association" "5/514" "56/17697" 0.0229808077836115 0.469314614451727 0.455353310131653 "DMTN/RNF112/SYP/SLC2A1/GPSM2" 5
"GO:0050662" "GO:0050662" "coenzyme binding" "15/514" "291/17697" 0.0234091280694903 0.469314614451727 0.455353310131653 "GCAT/COQ6/MARC1/HSD17B8/GCLC/STEAP4/PLOD1/PYGL/PPOX/TXNRD2/ACOX1/LBR/EGLN1/DUS4L/ALKBH3" 15
"GO:0016504" "GO:0016504" "peptidase activator activity" "4/514" "38/17697" 0.0238058137765369 0.469314614451727 0.455353310131653 "CFLAR/APAF1/ST20/CAV1" 4
