"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"WP3614" "WP3614" "Photodynamic therapy-induced HIF-1 survival signaling" "8/242" "37/7782" 1.37680530098496e-05 0.00586519058219595 0.00524635283112166 "598/7039/6515/3091/4170/5160/54583/6513" 8
"WP231" "WP231" "TNF-alpha signaling pathway" "12/242" "94/7782" 3.09843101192834e-05 0.00659965805540735 0.00590332645430557 "598/8837/5595/317/5590/5836/7124/6416/10131/8945/4793/5894" 12
"WP4206" "WP4206" "Hereditary leiomyomatosis and renal cell carcinoma pathway" "5/242" "20/7782" 0.000294963128751841 0.0366873541449318 0.0328164620718194 "4891/3091/5160/54583/6513" 5
"WP195" "WP195" "IL-1 signaling pathway" "8/242" "57/7782" 0.000344482198543961 0.0366873541449318 0.0328164620718194 "51295/7335/5595/5590/3556/5296/6416/4793" 8
"WP4864" "WP4864" "Host-pathogen interaction of human coronaviruses - apoptosis" "5/242" "22/7782" 0.000476136513972865 0.0389103929454806 0.0348049474827377 "598/317/596/4170/7124" 5
"WP5044" "WP5044" "Kynurenine pathway and links to cell senescence" "5/242" "23/7782" 0.000593122102606913 0.0389103929454806 0.0348049474827377 "7850/1026/27102/7124/7099" 5
"WP286" "WP286" "IL-3 signaling pathway" "7/242" "49/7782" 0.000725864717756647 0.0389103929454806 0.0348049474827377 "598/5595/596/1439/7409/5296/5894" 7
"WP4241" "WP4241" "Type 2 papillary renal cell carcinoma" "6/242" "36/7782" 0.000756084233129625 0.0389103929454806 0.0348049474827377 "7039/3091/1026/54583/6513/6923" 6
"WP3646" "WP3646" "Hepatitis C and hepatocellular carcinoma" "7/242" "50/7782" 0.000822050555186209 0.0389103929454806 0.0348049474827377 "598/5595/3577/3091/1026/1870/3570" 7
"WP3611" "WP3611" "Photodynamic therapy-induced AP-1 survival signaling" "7/242" "51/7782" 0.000928030606097627 0.0395341038197589 0.0353628504639306 "598/8837/596/1026/4170/7124/6416" 7
"WP254" "WP254" "Apoptosis" "9/242" "86/7782" 0.00133734669088288 0.0517917900287369 0.0463272250813016 "598/8837/317/596/4170/7124/6416/837/4793" 9
