"SYMBOL" "ENTREZID"
"1" "KCNE5" "23630"
"2" "HECW2" "57520"
"4" "OLAH" "55301"
"5" "VNN3" "55350"
"6" "UROS" "7390"
"7" "HYAL3" "8372"
"8" "REM2" "161253"
"9" "NECAB2" "54550"
"10" "IFITM10" "402778"
"11" "ROGDI" "79641"
"12" "CISH" "1154"
"13" "ST6GALNAC4" "27090"
"14" "TBC1D30" "23329"
"15" "TMCC3" "57458"
"16" "MANSC1" "54682"
"17" "NKAPL" "222698"
"18" "GCAT" "23464"
"19" "TPGS2" "25941"
"20" "GABARAPL1" "23710"
"21" "ABHD5" "51099"
"22" "KAZN" "23254"
"23" "RNASEH1" "246243"
"24" "PRRG4" "79056"
"25" "EIF2D" "1939"
"26" "DAAM2" "23500"
"27" "SLC11A2" "4891"
"28" "NHS" "4810"
"29" "CEP19" "84984"
"30" "BMX" "660"
"31" "IKBIP" "121457"
"32" "SMIM5" "643008"
"33" "RBM38" "55544"
"34" "LSMEM1" "286006"
"35" "FPR2" "2358"
"36" "IL1R2" "7850"
"37" "CPD" "1362"
"38" "PTMS" "5763"
"39" "NFE4" "58160"
"40" "OR2W3" "343171"
"41" "TSPAN17" "26262"
"42" "INHBB" "3625"
"43" "BCL2L1" "598"
"44" "AQP9" "366"
"45" "CLDN10" "9071"
"46" "ERGIC1" "57222"
"47" "MSL1" "339287"
"48" "NSUN7" "79730"
"49" "BASP1" "10409"
"50" "DNAJC27" "51277"
"51" "CDYL2" "124359"
"52" "ACSL1" "2180"
"53" "SOD2" "6648"
"54" "ECSIT" "51295"
"55" "HMBS" "3145"
"56" "MRRF" "92399"
"57" "SLC22A23" "63027"
"58" "BOD1L1" "259282"
"59" "VNN2" "8875"
"60" "MAF1" "84232"
"61" "LMNB1" "4001"
"62" "OSBP2" "23762"
"63" "SLC6A8" "6535"
"64" "SIAH2" "6478"
"65" "PHF7" "51533"
"66" "COQ6" "51004"
"67" "PPP1R3B" "79660"
"69" "HEBP2" "23593"
"70" "TGFA" "7039"
"71" "PCCB" "5096"
"72" "TANGO2" "128989"
"73" "ZNF486" "90649"
"74" "HAGH" "3029"
"75" "LITAF" "9516"
"76" "ZNF619" "285267"
"77" "HLX" "3142"
"78" "LETM2" "137994"
"79" "RAB19" "401409"
"80" "MCTP2" "55784"
"82" "RSPH14" "27156"
"83" "KLF1" "10661"
