"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0042119" "GO:0042119" "neutrophil activation" "29/306" "498/18670" 3.79645916376804e-09 1.35799344287983e-05 1.25602854228663e-05 "FPR2/HEBP2/NIT2/SLC2A3/DNAJC3/PREX1/CRISPLD2/CXCR1/APAF1/QPCT/FCGR2A/MME/MVP/FCAR/MNDA/PYGL/CAB39/IQGAP1/KPNB1/SLCO4C1/CXCR2/LAMP1/CR1/LAMP2/ADGRG3/FPR1/FCGR2B/CD93/PGM1" 29
"GO:0043312" "GO:0043312" "neutrophil degranulation" "27/306" "485/18670" 3.43050881725634e-08 4.64398176669746e-05 4.29528852249904e-05 "FPR2/HEBP2/NIT2/SLC2A3/DNAJC3/CRISPLD2/CXCR1/APAF1/QPCT/FCGR2A/MME/MVP/FCAR/MNDA/PYGL/CAB39/IQGAP1/KPNB1/SLCO4C1/CXCR2/LAMP1/CR1/LAMP2/ADGRG3/FPR1/CD93/PGM1" 27
"GO:0002283" "GO:0002283" "neutrophil activation involved in immune response" "27/306" "488/18670" 3.89486868887123e-08 4.64398176669746e-05 4.29528852249904e-05 "FPR2/HEBP2/NIT2/SLC2A3/DNAJC3/CRISPLD2/CXCR1/APAF1/QPCT/FCGR2A/MME/MVP/FCAR/MNDA/PYGL/CAB39/IQGAP1/KPNB1/SLCO4C1/CXCR2/LAMP1/CR1/LAMP2/ADGRG3/FPR1/CD93/PGM1" 27
"GO:0002446" "GO:0002446" "neutrophil mediated immunity" "27/306" "499/18670" 6.14725633374061e-08 5.49718397644754e-05 5.08442806761756e-05 "FPR2/HEBP2/NIT2/SLC2A3/DNAJC3/CRISPLD2/CXCR1/APAF1/QPCT/FCGR2A/MME/MVP/FCAR/MNDA/PYGL/CAB39/IQGAP1/KPNB1/SLCO4C1/CXCR2/LAMP1/CR1/LAMP2/ADGRG3/FPR1/CD93/PGM1" 27
"GO:0006732" "GO:0006732" "coenzyme metabolic process" "19/306" "403/18670" 4.01094209831463e-05 0.0286942797713429 0.0265397705579008 "VNN3/ACSL1/VNN2/COQ6/SLC2A3/NAMPT/NUP88/DGAT2/ENTPD5/HIF1A/MCCC2/GCLC/NUP93/ATIC/PFKFB3/NT5E/NAXD/PDHA1/PGM1" 19
"GO:0051188" "GO:0051188" "cofactor biosynthetic process" "15/306" "326/18670" 0.00033570904289771 0.147877036747722 0.136773693479714 "UROS/SLC11A2/ACSL1/COQ6/NAMPT/NUP88/ENTPD5/HIF1A/GCLC/NUP93/ATIC/PFKFB3/NAXD/PDHA1/PGM1" 15
"GO:0002713" "GO:0002713" "negative regulation of B cell mediated immunity" "3/306" "10/18670" 0.000480357343739341 0.147877036747722 0.136773693479714 "BCL6/CR1/FCGR2B" 3
"GO:0002890" "GO:0002890" "negative regulation of immunoglobulin mediated immune response" "3/306" "10/18670" 0.000480357343739341 0.147877036747722 0.136773693479714 "BCL6/CR1/FCGR2B" 3
"GO:0033483" "GO:0033483" "gas homeostasis" "3/306" "10/18670" 0.000480357343739341 0.147877036747722 0.136773693479714 "SOD2/HIF1A/EGLN1" 3
"GO:0030888" "GO:0030888" "regulation of B cell proliferation" "6/306" "61/18670" 0.000480663917093301 0.147877036747722 0.136773693479714 "BCL2/MNDA/IRS2/BCL6/TLR4/FCGR2B" 6
"GO:0006914" "GO:0006914" "autophagy" "19/306" "496/18670" 0.000572652484452454 0.147877036747722 0.136773693479714 "GABARAPL1/NAMPT/GOLGA2/MAPK3/NRBF2/BCL2/HIF1A/DHRSX/MCL1/USP10/PHF23/PIK3R2/CD84/LAMP2/DAPK2/UBXN2B/RUBCNL/SNX5/SESN3" 19
"GO:0061919" "GO:0061919" "process utilizing autophagic mechanism" "19/306" "496/18670" 0.000572652484452454 0.147877036747722 0.136773693479714 "GABARAPL1/NAMPT/GOLGA2/MAPK3/NRBF2/BCL2/HIF1A/DHRSX/MCL1/USP10/PHF23/PIK3R2/CD84/LAMP2/DAPK2/UBXN2B/RUBCNL/SNX5/SESN3" 19
"GO:0006733" "GO:0006733" "oxidoreduction coenzyme metabolic process" "11/306" "207/18670" 0.000639175589404843 0.147877036747722 0.136773693479714 "COQ6/NAMPT/NUP88/ENTPD5/HIF1A/NUP93/PFKFB3/NT5E/NAXD/PDHA1/PGM1" 11
"GO:0045628" "GO:0045628" "regulation of T-helper 2 cell differentiation" "3/306" "11/18670" 0.000652494846793563 0.147877036747722 0.136773693479714 "HLX/PRKCZ/BCL6" 3
"GO:1901653" "GO:1901653" "cellular response to peptide" "16/306" "385/18670" 0.000655068428643359 0.147877036747722 0.136773693479714 "CISH/FPR2/SYAP1/CFLAR/NAMPT/PRKCZ/GCLC/IRS2/HDAC9/PIK3R2/ZNF106/CASP4/PTPRE/SESN3/TLR4/FCGR2B" 16
"GO:1904646" "GO:1904646" "cellular response to amyloid-beta" "5/306" "43/18670" 0.000661457251317738 0.147877036747722 0.136773693479714 "FPR2/NAMPT/CASP4/TLR4/FCGR2B" 5
"GO:0032869" "GO:0032869" "cellular response to insulin stimulus" "11/306" "216/18670" 0.000907328607308442 0.18286994190681 0.169139157310038 "CISH/SYAP1/CFLAR/PRKCZ/GCLC/IRS2/HDAC9/PIK3R2/ZNF106/PTPRE/SESN3" 11
"GO:0000187" "GO:0000187" "activation of MAPK activity" "9/306" "152/18670" 0.000920228950048249 0.18286994190681 0.169139157310038 "TGFA/UBE2V1/MAPK3/TNFSF11/MAP2K4/PROK2/SPAG9/FPR1/TLR4" 9
"GO:0002430" "GO:0002430" "complement receptor mediated signaling pathway" "3/306" "13/18670" 0.00110380376536732 0.194660735346338 0.18004463934598 "FPR2/CR1/FPR1" 3
"GO:0019362" "GO:0019362" "pyridine nucleotide metabolic process" "10/306" "189/18670" 0.00115338483137939 0.194660735346338 0.18004463934598 "NAMPT/NUP88/ENTPD5/HIF1A/NUP93/PFKFB3/NT5E/NAXD/PDHA1/PGM1" 10
"GO:0046496" "GO:0046496" "nicotinamide nucleotide metabolic process" "10/306" "189/18670" 0.00115338483137939 0.194660735346338 0.18004463934598 "NAMPT/NUP88/ENTPD5/HIF1A/NUP93/PFKFB3/NT5E/NAXD/PDHA1/PGM1" 10
"GO:0002704" "GO:0002704" "negative regulation of leukocyte mediated immunity" "5/306" "49/18670" 0.00120963070924876 0.194660735346338 0.18004463934598 "KIR2DL4/BCL6/CD84/CR1/FCGR2B" 5
"GO:0071902" "GO:0071902" "positive regulation of protein serine/threonine kinase activity" "14/306" "334/18670" 0.00129547374831854 0.194660735346338 0.18004463934598 "ACSL1/TGFA/SYAP1/UBE2V1/MAPK3/CAB39/TNFSF11/IQGAP1/MAP2K4/PROK2/SPAG9/FPR1/TLR4/RAF1" 14
"GO:0009108" "GO:0009108" "coenzyme biosynthetic process" "12/306" "261/18670" 0.00130608265258935 0.194660735346338 0.18004463934598 "ACSL1/COQ6/NAMPT/NUP88/ENTPD5/HIF1A/NUP93/ATIC/PFKFB3/NAXD/PDHA1/PGM1" 12
"GO:0045064" "GO:0045064" "T-helper 2 cell differentiation" "3/306" "14/18670" 0.0013878738418351 0.198576989289766 0.183666841468957 "HLX/PRKCZ/BCL6" 3
