"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0101002" "GO:0101002" "ficolin-1-rich granule" "17/310" "185/19717" 6.0167347744804e-09 2.30440941862599e-06 2.12169068363256e-06 "FPR2/SLC2A3/CRISPLD2/APAF1/QPCT/MVP/FCAR/MNDA/PYGL/CAB39/KPNB1/LAMP1/CR1/LAMP2/FPR1/CD93/PGM1" 17
"GO:0101003" "GO:0101003" "ficolin-1-rich granule membrane" "8/310" "61/19717" 4.87240510181431e-06 0.00186613115399488 0.000859081952161996 "FPR2/SLC2A3/FCAR/LAMP1/CR1/LAMP2/FPR1/CD93" 8
"GO:0030667" "GO:0030667" "secretory granule membrane" "16/310" "298/19717" 2.16264291997425e-05 0.00828292238350139 0.00254205395856623 "FPR2/SLC2A3/CA4/CXCR1/FCGR2A/MME/FCAR/IQGAP1/SLCO4C1/CXCR2/LAMP1/CR1/LAMP2/ADGRG3/FPR1/CD93" 16
"GO:0070820" "GO:0070820" "tertiary granule" "11/310" "164/19717" 5.91679721244755e-05 0.0226613333236741 0.00521612385834192 "FPR2/NIT2/SLC2A3/QPCT/FCAR/LAMP1/CR1/LAMP2/FPR1/CD93/PGM1" 11
"GO:1904813" "GO:1904813" "ficolin-1-rich granule lumen" "9/310" "124/19717" 0.00015259618979346 0.058444340690895 0.010762047069644 "CRISPLD2/APAF1/QPCT/MVP/MNDA/PYGL/CAB39/KPNB1/PGM1" 9
"GO:0033116" "GO:0033116" "endoplasmic reticulum-Golgi intermediate compartment membrane" "6/310" "71/19717" 0.000874360790168904 0.33488018263469 0.0499635618853819 "PRRG4/ERGIC1/TGFA/GOLGA2/WHAMM/GOSR2" 6
"GO:0042581" "GO:0042581" "specific granule" "9/310" "160/19717" 0.000991813989665043 0.379864758041711 0.0499635618853819 "FPR2/NIT2/SLC2A3/QPCT/FCAR/KPNB1/SLCO4C1/ADGRG3/CD93" 9
"GO:0019898" "GO:0019898" "extrinsic component of membrane" "12/310" "295/19717" 0.00257602341883653 0.986616969414393 0.103410050851805 "CISH/COQ6/SYAP1/SYTL3/GNA12/NRBF2/PACSIN2/IQGAP1/PIK3R2/OSBPL2/SNX5/USP8" 12
"GO:0009898" "GO:0009898" "cytoplasmic side of plasma membrane" "8/310" "154/19717" 0.00307258692111382 1 0.103410050851805 "LITAF/SYAP1/GNA12/IQGAP1/RGS2/OSBPL2/SNX5/CACNB4" 8
"GO:0035579" "GO:0035579" "specific granule membrane" "6/310" "91/19717" 0.00313497724625596 1 0.103410050851805 "FPR2/SLC2A3/FCAR/SLCO4C1/ADGRG3/CD93" 6
"GO:0005776" "GO:0005776" "autophagosome" "6/310" "93/19717" 0.00349297966409612 1 0.103410050851805 "GABARAPL1/NRBF2/LAMP1/LAMP2/DAPK2/RUBCNL" 6
"GO:0005769" "GO:0005769" "early endosome" "13/310" "350/19717" 0.00379085759804367 1 0.103410050851805 "SLC11A2/LITAF/MAPK3/MME/KIR2DL4/PACSIN2/STEAP4/TGFBRAP1/USP10/STX6/SNX5/USP8/TLR4" 13
"GO:0005793" "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" "7/310" "126/19717" 0.00381228097916357 1 0.103410050851805 "PRRG4/ERGIC1/TGFA/CA4/GOLGA2/WHAMM/GOSR2" 7
"GO:0034774" "GO:0034774" "secretory granule lumen" "12/310" "321/19717" 0.00505471834957769 1 0.127318093767558 "HEBP2/NIT2/DNAJC3/CRISPLD2/APAF1/QPCT/MVP/PCYOX1L/MNDA/PYGL/CAB39/KPNB1" 12
"GO:0098562" "GO:0098562" "cytoplasmic side of membrane" "8/310" "178/19717" 0.00728565722683606 1 0.159353222064428 "LITAF/SYAP1/GNA12/IQGAP1/RGS2/OSBPL2/SNX5/CACNB4" 8
"GO:0060205" "GO:0060205" "cytoplasmic vesicle lumen" "12/310" "338/19717" 0.00751271972784965 1 0.159353222064428 "HEBP2/NIT2/DNAJC3/CRISPLD2/APAF1/QPCT/MVP/PCYOX1L/MNDA/PYGL/CAB39/KPNB1" 12
"GO:0031983" "GO:0031983" "vesicle lumen" "12/310" "339/19717" 0.00768225234728512 1 0.159353222064428 "HEBP2/NIT2/DNAJC3/CRISPLD2/APAF1/QPCT/MVP/PCYOX1L/MNDA/PYGL/CAB39/KPNB1" 12
"GO:0005942" "GO:0005942" "phosphatidylinositol 3-kinase complex" "3/310" "27/19717" 0.0085146953096484 1 0.166808358405393 "CISH/NRBF2/PIK3R2" 3
"GO:0005811" "GO:0005811" "lipid droplet" "5/310" "81/19717" 0.00901096598803132 1 0.167239534957922 "ABHD5/DGAT2/PLIN4/PLIN5/OSBPL2" 5
"GO:0031313" "GO:0031313" "extrinsic component of endosome membrane" "2/310" "10/19717" 0.0102014490518958 1 0.179867654336058 "SNX5/USP8" 2
"GO:0005766" "GO:0005766" "primary lysosome" "7/310" "155/19717" 0.0114600388584744 1 0.183689618066456 "HEBP2/DNAJC3/MNDA/SLCO4C1/LAMP1/LAMP2/FPR1" 7
"GO:0042582" "GO:0042582" "azurophil granule" "7/310" "155/19717" 0.0114600388584744 1 0.183689618066456 "HEBP2/DNAJC3/MNDA/SLCO4C1/LAMP1/LAMP2/FPR1" 7
"GO:0035577" "GO:0035577" "azurophil granule membrane" "4/310" "58/19717" 0.0130719717329774 1 0.197809049397952 "SLCO4C1/LAMP1/LAMP2/FPR1" 4
"GO:0000151" "GO:0000151" "ubiquitin ligase complex" "10/310" "282/19717" 0.0141538530210449 1 0.197809049397952 "UBE2V1/DCAF12/MED27/RANBP10/CUL4A/KLHL2/FBXL13/UBE2L5/BTRC/UBE3D" 10
"GO:0031234" "GO:0031234" "extrinsic component of cytoplasmic side of plasma membrane" "5/310" "91/19717" 0.0144213825002955 1 0.197809049397952 "SYAP1/GNA12/IQGAP1/OSBPL2/SNX5" 5
"GO:0000922" "GO:0000922" "spindle pole" "7/310" "164/19717" 0.0152381507841983 1 0.197809049397952 "CEP19/BOD1L1/GOLGA2/CEP63/UBXN2B/CTDP1/GPSM2" 7
"GO:0019867" "GO:0019867" "outer membrane" "8/310" "203/19717" 0.0152580613421259 1 0.197809049397952 "SLC11A2/ACSL1/MARC1/ANKH/BCL2/MCL1/AKAP1/RAF1" 8
