"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"hsa04140" "hsa04140" "Autophagy - animal" "12/150" "141/8192" 9.57561966954864e-06 0.00239390491738716 0.00189496473460541 "23710/8837/5595/29982/596/3091/8660/5296/3916/3920/23604/5894" 12
"hsa05152" "hsa05152" "Tuberculosis" "12/150" "180/8192" 0.000108207934556376 0.00902863909749546 0.00714688063296483 "26253/5595/317/2212/596/3916/1378/3920/4046/7099/2213/5894" 12
"hsa05160" "hsa05160" "Hepatitis C" "11/150" "157/8192" 0.000135903769145237 0.00902863909749546 0.00714688063296483 "9071/8837/5595/317/1021/27102/1870/6041/5296/3454/5894" 11
"hsa04066" "hsa04066" "HIF-1 signaling pathway" "9/150" "109/8192" 0.000163349228564538 0.00902863909749546 0.00714688063296483 "5595/596/3091/5209/5296/3570/5160/54583/7099" 9
"hsa04613" "hsa04613" "Neutrophil extracellular trap formation" "12/150" "190/8192" 0.000180572781949909 0.00902863909749546 0.00714688063296483 "2358/366/5595/2212/9734/5296/1378/23569/837/2357/7099/5894" 12
"hsa04210" "hsa04210" "Apoptosis" "9/150" "136/8192" 0.000844000822936592 0.0351667009556913 0.0278372201249262 "4001/8837/5595/317/596/1439/4170/5296/5894" 9
"hsa05162" "hsa05162" "Measles" "9/150" "139/8192" 0.000986423014377549 0.0352293933706267 0.0278868461207488 "317/596/1021/27102/5296/3454/4793/7099/2213" 9
"hsa05164" "hsa05164" "Influenza A" "10/150" "171/8192" 0.00114132643255066 0.0356664510172081 0.028232811752569 "5611/5595/317/1021/6041/5296/3454/4793/7099/5894" 10
"hsa04664" "hsa04664" "Fc epsilon RI signaling pathway" "6/150" "68/8192" 0.0014659697149865 0.0395436840410529 0.0313019477882861 "5595/241/7409/5296/6416/5894" 6
"hsa05211" "hsa05211" "Renal cell carcinoma" "6/150" "69/8192" 0.00158174736164212 0.0395436840410529 0.0313019477882861 "7039/5595/3091/5296/54583/5894" 6
"hsa05215" "hsa05215" "Prostate cancer" "7/150" "97/8192" 0.00194695003801081 0.0410647926132821 0.0325060253107244 "7850/7039/5595/596/1870/5296/5894" 7
"hsa05223" "hsa05223" "Non-small cell lung cancer" "6/150" "72/8192" 0.00197111004543754 0.0410647926132821 0.0325060253107244 "7039/5595/1021/1870/5296/5894" 6
"hsa05214" "hsa05214" "Glioma" "6/150" "75/8192" 0.00242903245061598 0.046395713433631 0.0367258700022005 "7039/5595/1021/1870/5296/5894" 6
"hsa05212" "hsa05212" "Pancreatic cancer" "6/150" "76/8192" 0.00259815995228334 0.046395713433631 0.0367258700022005 "7039/5595/1021/1870/5296/5894" 6
"hsa05161" "hsa05161" "Hepatitis B" "9/150" "162/8192" 0.00285054359445928 0.0475090599076546 0.0376071716321645 "5595/317/596/1870/5296/6416/3454/7099/5894" 9
