"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0004896" "GO:0004896" "cytokine receptor activity" "8/309" "96/17697" 0.000276409853611084 0.143456714024153 0.101102951006602 "IL1R2/IL18R1/CXCR1/CSF2RB/IL1RAP/CXCR2/IL6R/IFNAR1" 8
"GO:0061631" "GO:0061631" "ubiquitin conjugating enzyme activity" "5/309" "38/17697" 0.000491627672692949 0.25515476212764 0.101102951006602 "UBE2E2/UBE2V1/UBE2G2/UBE2O/UBE2L5" 5
"GO:0061650" "GO:0061650" "ubiquitin-like protein conjugating enzyme activity" "5/309" "40/17697" 0.000626398718193079 0.325100934742208 0.101102951006602 "UBE2E2/UBE2V1/UBE2G2/UBE2O/UBE2L5" 5
"GO:0031406" "GO:0031406" "carboxylic acid binding" "10/309" "193/17697" 0.00214297212367023 1 0.223356054089279 "GCLC/ALOX5AP/LYVE1/PLOD1/PYGL/CYP26C1/ACOX1/EGLN1/PADI4/SESN3" 10
"GO:0043177" "GO:0043177" "organic acid binding" "10/309" "205/17697" 0.00331231616142534 1 0.223356054089279 "GCLC/ALOX5AP/LYVE1/PLOD1/PYGL/CYP26C1/ACOX1/EGLN1/PADI4/SESN3" 10
"GO:0017127" "GO:0017127" "cholesterol transporter activity" "3/309" "18/17697" 0.00354135514654737 1 0.223356054089279 "ABCG1/OSBPL2/GRAMD1C" 3
"GO:0120020" "GO:0120020" "intermembrane cholesterol transfer activity" "3/309" "18/17697" 0.00354135514654737 1 0.223356054089279 "ABCG1/OSBPL2/GRAMD1C" 3
"GO:0016874" "GO:0016874" "ligase activity" "8/309" "145/17697" 0.00399122246921889 1 0.223356054089279 "ACSL1/MCCC2/GCLC/ACSS3/FARS2/UBE2L5/BTRC/FARSB" 8
"GO:0120015" "GO:0120015" "intermembrane sterol transfer activity" "3/309" "19/17697" 0.00415150926622464 1 0.223356054089279 "ABCG1/OSBPL2/GRAMD1C" 3
"GO:0019865" "GO:0019865" "immunoglobulin binding" "3/309" "24/17697" 0.00813171707181963 1 0.357951182108806 "FCGR2A/FCAR/FCGR2B" 3
"GO:0120013" "GO:0120013" "intermembrane lipid transfer activity" "3/309" "24/17697" 0.00813171707181963 1 0.357951182108806 "ABCG1/OSBPL2/GRAMD1C" 3
