"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"WP3614" "WP3614" "Photodynamic therapy-induced HIF-1 survival signaling" "6/143" "37/7782" 5.03905730289404e-05 0.00904120036588355 0.00765044869576073 "7039/6515/3091/4170/5160/54583" 6
"WP231" "WP231" "TNF-alpha signaling pathway" "9/143" "94/7782" 5.24303186733666e-05 0.00904120036588355 0.00765044869576073 "8837/5595/317/5590/5836/6416/8945/4793/5894" 9
"WP195" "WP195" "IL-1 signaling pathway" "7/143" "57/7782" 7.49270748553886e-05 0.00904120036588355 0.00765044869576073 "7335/5595/5590/3556/5296/6416/4793" 7
"WP1772" "WP1772" "Apoptosis modulation and signaling" "8/143" "91/7782" 0.000251079560689796 0.018310136952016 0.0154936023641659 "7850/8837/5595/317/596/8794/4170/837" 8
"WP286" "WP286" "IL-3 signaling pathway" "6/143" "49/7782" 0.000252902444088619 0.018310136952016 0.0154936023641659 "5595/596/1439/7409/5296/5894" 6
"WP4206" "WP4206" "Hereditary leiomyomatosis and renal cell carcinoma pathway" "4/143" "20/7782" 0.000421267806571465 0.0239671630599959 0.0202804432988043 "4891/3091/5160/54583" 4
"WP2037" "WP2037" "Prolactin signaling pathway" "7/143" "76/7782" 0.000463453429336936 0.0239671630599959 0.0202804432988043 "1154/5595/7409/8660/5296/4793/5894" 7
"WP127" "WP127" "IL-5 signaling pathway" "5/143" "40/7782" 0.000765903489329046 0.0332284121622602 0.0281170920012146 "5595/596/1439/5296/5894" 5
"WP4630" "WP4630" "Measles virus infection" "9/143" "138/7782" 0.000954224652983498 0.0332284121622602 0.0281170920012146 "317/596/1021/27102/5296/3454/4793/7099/2213" 9
"WP254" "WP254" "Apoptosis" "7/143" "86/7782" 0.000978087384972124 0.0332284121622602 0.0281170920012146 "8837/317/596/4170/6416/837/4793" 7
"WP364" "WP364" "IL-6 signaling pathway" "5/143" "43/7782" 0.00107206645863805 0.0332284121622602 0.0281170920012146 "5595/7409/5296/6416/3570" 5
"WP314" "WP314" "Fas ligand pathway and stress induction of heat shock proteins" "5/143" "44/7782" 0.00119186202061947 0.0332284121622602 0.0281170920012146 "4001/8837/317/596/6416" 5
"WP581" "WP581" "EPO receptor signaling" "4/143" "26/7782" 0.00119328551963918 0.0332284121622602 0.0281170920012146 "1154/5595/8660/5894" 4
"WP4255" "WP4255" "Non-small cell lung cancer" "6/143" "72/7782" 0.00200026566451606 0.0513856162849033 0.0434812862428231 "7039/5595/1021/1870/5296/5894" 6
"WP3646" "WP3646" "Hepatitis C and hepatocellular carcinoma" "5/143" "50/7782" 0.00212923824384959 0.0513856162849033 0.0434812862428231 "5595/3577/3091/1870/3570" 5
"WP4877" "WP4877" "Host-pathogen interaction of human coronaviruses - MAPK signaling" "4/143" "36/7782" 0.00407939430693857 0.0872989774442506 0.0738703182212181 "5595/596/6416/5894" 4
"WP2261" "WP2261" "Glioblastoma signaling pathways" "6/143" "83/7782" 0.00409967573633221 0.0872989774442506 0.0738703182212181 "5595/5590/1021/5296/6416/5894" 6
"WP4806" "WP4806" "EGFR tyrosine kinase inhibitor resistance" "6/143" "84/7782" 0.00434965273579002 0.0874763494642215 0.0740204062055495 "7039/5595/596/5296/3570/5894" 6
"WP304" "WP304" "Kit receptor signaling pathway" "5/143" "60/7782" 0.00474142570675441 0.0903366371497419 0.0764407136102788 "5595/596/7409/5296/5894" 5
"WP2507" "WP2507" "Nanomaterial induced apoptosis" "3/143" "20/7782" 0.00550777087526898 0.0984154973786901 0.0832768529723723 "8837/317/596" 3
"WP4263" "WP4263" "Pancreatic adenocarcinoma pathway" "6/143" "89/7782" 0.00577167689629725 0.0984154973786901 0.0832768529723723 "7039/5595/1021/1870/5296/5894" 6
"WP2526" "WP2526" "PDGF pathway" "4/143" "40/7782" 0.00598105232688172 0.0984154973786901 0.0832768529723723 "5595/7409/6416/5894" 4
"WP3888" "WP3888" "VEGFA-VEGFR2 signaling pathway" "16/143" "439/7782" 0.00654609540861033 0.102038128602945 0.086342237346487 "660/6648/3142/5595/5590/596/6541/8794/8826/9100/9734/5296/6416/6732/5894/10056" 16
"WP49" "WP49" "IL-2 signaling pathway" "4/143" "42/7782" 0.00712139159044249 0.102038128602945 0.086342237346487 "1154/5595/596/5894" 4
"WP4864" "WP4864" "Host-pathogen interaction of human coronaviruses - apoptosis" "3/143" "22/7782" 0.00724372083544424 0.102038128602945 0.086342237346487 "317/596/4170" 3
"WP4666" "WP4666" "Hepatitis B infection" "8/143" "154/7782" 0.00732870536927227 0.102038128602945 0.086342237346487 "5595/317/596/5296/6416/3454/7099/5894" 8
"WP4685" "WP4685" "Melanoma" "5/143" "68/7782" 0.00805358117586199 0.104815633413335 0.0886924958513533 "5595/1021/1870/5296/5894" 5
"WP5044" "WP5044" "Kynurenine pathway and links to cell senescence" "3/143" "23/7782" 0.00821962972431587 0.104815633413335 0.0886924958513533 "7850/27102/7099" 3
"WP2332" "WP2332" "Interleukin-11 signaling pathway" "4/143" "44/7782" 0.008396832511013 0.104815633413335 0.0886924958513533 "5595/596/5296/5894" 4
"WP4658" "WP4658" "Small cell lung cancer" "6/143" "98/7782" 0.00914501478339546 0.110349845052972 0.0933754141041431 "317/596/1021/1870/5296/4793" 6
"WP2880" "WP2880" "Glucocorticoid receptor pathway" "5/143" "71/7782" 0.00962963170225253 0.112449247619852 0.0951518786198807 "79056/7056/121512/241/5997" 5
"WP1544" "WP1544" "MicroRNAs in cardiomyocyte hypertrophy" "6/143" "101/7782" 0.0105309384833331 0.119131241592705 0.100806022981905 "1154/5595/9734/5296/6416/5894" 6
"WP3929" "WP3929" "Chemokine signaling pathway" "8/143" "165/7782" 0.0108980998335472 0.119548852719517 0.101159395584122 "5595/57580/5590/7409/5296/3579/4793/5894" 8
"WP2848" "WP2848" "Pluripotent stem cell differentiation pathway" "4/143" "48/7782" 0.0113768821150307 0.121130333107091 0.10249760667102 "3577/8600/4907/3570" 4
"WP75" "WP75" "Toll-like receptor signaling pathway" "6/143" "104/7782" 0.01206003830123 0.124735253287008 0.10554800438069 "5595/5296/6416/3454/4793/7099" 6
"WP2637" "WP2637" "Interleukin-1 (IL-1) structural pathway" "4/143" "50/7782" 0.0130923543814831 0.131650896836025 0.111399857456479 "5595/3556/6416/4793" 4
"WP3611" "WP3611" "Photodynamic therapy-induced AP-1 survival signaling" "4/143" "51/7782" 0.0140086122194052 0.137057233065532 0.115974570578859 "8837/596/4170/6416" 4
"WP3972" "WP3972" "PDGFR-beta pathway" "3/143" "29/7782" 0.0156555320912441 0.149139542553431 0.126198333477896 "5595/6416/5894" 3
"WP3630" "WP3630" "NAD metabolism, sirtuins and aging" "2/143" "11/7782" 0.0165433476891895 0.149717296587165 0.126687215198793 "10135/3091" 2
"WP3656" "WP3656" "Interleukin-1 induced activation of NF-kB" "2/143" "11/7782" 0.0165433476891895 0.149717296587165 0.126687215198793 "7335/5590" 2
"WP395" "WP395" "IL-4 signaling pathway" "4/143" "55/7782" 0.0180763845528427 0.155801219241168 0.131835285836522 "5595/8660/4783/5296" 4
"WP585" "WP585" "Interferon type I signaling pathways" "4/143" "55/7782" 0.0180763845528427 0.155801219241168 0.131835285836522 "7409/8660/5296/3454" 4
"WP2795" "WP2795" "Cardiac hypertrophic response" "4/143" "57/7782" 0.0203585794944241 0.168012198883226 0.142167926359461 "5595/9734/6416/5894" 4
"WP2112" "WP2112" "IL-17 signaling pathway" "3/143" "32/7782" 0.0204213722399501 0.168012198883226 0.142167926359461 "1052/5595/4793" 3
"WP422" "WP422" "MAPK cascade" "3/143" "33/7782" 0.022167817051267 0.174451082012145 0.14761635610798 "5595/6416/5894" 3
"WP4838" "WP4838" "Regucalcin in proximal tubule epithelial kidney cells" "3/143" "33/7782" 0.022167817051267 0.174451082012145 0.14761635610798 "317/8600/5894" 3
"WP673" "WP673" "ErbB signaling pathway" "5/143" "91/7782" 0.0257533479060637 0.191327533153489 0.161896807640783 "7039/5595/5296/6416/5894" 5
"WP69" "WP69" "T-cell receptor signaling pathway" "5/143" "91/7782" 0.0257533479060637 0.191327533153489 0.161896807640783 "5595/7409/5296/3604/5894" 5
"WP244" "WP244" "Alpha 6 beta 4 signaling pathway" "3/143" "35/7782" 0.0258979257583451 0.191327533153489 0.161896807640783 "5595/8660/5296" 3
"WP4241" "WP4241" "Type 2 papillary renal cell carcinoma" "3/143" "36/7782" 0.0278814286175639 0.198490387656455 0.167957844745648 "7039/3091/54583" 3
"WP2355" "WP2355" "Corticotropin-releasing hormone signaling pathway" "5/143" "93/7782" 0.0279641153880642 0.198490387656455 0.167957844745648 "5595/596/2355/7099/5894" 5
"WP4723" "WP4723" "Omega-3 / omega-6 fatty acid synthesis" "2/143" "15/7782" 0.0301063016584108 0.209586176929706 0.177346837704404 "2180/51" 2
"WP2324" "WP2324" "AGE/RAGE pathway" "4/143" "66/7782" 0.0327668879703352 0.21491007756263 0.181851795785767 "5595/5590/3091/5894" 4
"WP12" "WP12" "Osteoclast signaling" "2/143" "16/7782" 0.0339993689418362 0.21491007756263 0.181851795785767 "8600/3454" 2
"WP3644" "WP3644" "NAD+ metabolism" "2/143" "16/7782" 0.0339993689418362 0.21491007756263 0.181851795785767 "10135/4907" 2
"WP4928" "WP4928" "MAPK pathway in congenital thyroid cancer" "2/143" "16/7782" 0.0339993689418362 0.21491007756263 0.181851795785767 "5595/5894" 2
"WP23" "WP23" "B cell receptor signaling pathway" "5/143" "98/7782" 0.0340076569791697 0.21491007756263 0.181851795785767 "7409/604/5296/7462/5894" 5
"WP3915" "WP3915" "Angiopoietin-like protein 8 regulatory pathway" "6/143" "132/7782" 0.0344331063498137 0.21491007756263 0.181851795785767 "5595/8660/5296/6416/143686/5894" 6
"WP2032" "WP2032" "Thyroid stimulating hormone (TSH) signaling pathway" "4/143" "68/7782" 0.0360112054255903 0.220816456291266 0.186849632976907 "5595/2768/5296/5894" 4
