,alpha,log_alpha,train_auc,train_accuracy,val_auc,val_accuracy,test_auc,test_accuracy
0,0.001,-3.0,1.0,1.0,0.774122113255299,0.7142857142857143,0.5552007557864903,0.5373390557939914
1,0.002,-2.6989700043360187,1.0,1.0,0.7832964251819045,0.7244897959183674,0.5527696425759723,0.5416309012875536
2,0.003,-2.5228787452803374,1.0,1.0,0.7850891068227355,0.7397959183673469,0.5606896551724139,0.5467811158798284
3,0.004,-2.3979400086720375,0.9999601116872756,0.9961587708066582,0.7823473584308762,0.7193877551020408,0.5682286254133208,0.559656652360515
4,0.005,-2.3010299956639813,0.9995479324557904,0.9897567221510883,0.7831909733206791,0.7091836734693877,0.5758053849787435,0.5553648068669528
5,0.006,-2.221848749616356,0.99835793112618,0.9820742637644047,0.7754929874512285,0.7040816326530612,0.5834262320894348,0.5639484978540773
6,0.007,-2.154901959985743,0.9963103310729956,0.970550576184379,0.7770747653696088,0.7142857142857143,0.587598803338057,0.5682403433476395
7,0.008,-2.0969100130080562,0.9926539024065948,0.9539052496798975,0.774438468838975,0.7091836734693877,0.5919162336639899,0.5708154506437768
8,0.009,-2.0457574905606752,0.9875681425342375,0.941101152368758,0.7726457871981441,0.7091836734693877,0.5938308927727917,0.5802575107296137
9,0.01,-2.0,0.981139476133493,0.9282970550576184,0.771696720447116,0.7040816326530612,0.5968036529680365,0.5836909871244635
10,0.011,-1.958607314841775,0.9745911447945752,0.912932138284251,0.770220394389961,0.7040816326530612,0.5990143284522123,0.5879828326180258
11,0.012,-1.9208187539523751,0.9673846562957054,0.9039692701664532,0.7683222608879046,0.7040816326530612,0.6017005196032121,0.5939914163090129
12,0.013,-1.8860566476931633,0.9596529716792979,0.8873239436619719,0.7661077718021724,0.6989795918367347,0.6044150527475989,0.5965665236051502
13,0.014,-1.8538719643217618,0.9519478792713735,0.8745198463508322,0.7639987345776653,0.6836734693877551,0.6070666036844592,0.6025751072961374
14,0.015,-1.8239087409443189,0.9435380933386518,0.8617157490396927,0.7611515343245808,0.6785714285714286,0.6096142339789009,0.6042918454935622
15,0.016,-1.7958800173440752,0.9340912112750963,0.8540332906530089,0.7587261415163978,0.6938775510204082,0.6114533144386711,0.6120171673819742
16,0.017,-1.7695510786217261,0.9240526525727961,0.8361075544174136,0.7574607191816937,0.6887755102040817,0.6118249094630767,0.6094420600858369
17,0.018,-1.744727494896694,0.914087222443824,0.8271446862996159,0.7557734894020879,0.6938775510204082,0.613270351125807,0.6085836909871245
18,0.019,-1.721246399047171,0.9040553117936444,0.8181818181818182,0.7568280080143415,0.6938775510204082,0.6139001732010707,0.6120171673819742
19,0.02,-1.6989700043360187,0.8952333466294375,0.8117797695262484,0.7571443635980175,0.6989795918367347,0.6155629034797669,0.6145922746781116
20,0.021,-1.6777807052660807,0.8864113814652307,0.8053777208706786,0.757249815459243,0.6836734693877551,0.6163942686191151,0.6120171673819742
21,0.022,-1.6575773191777938,0.8789788591942561,0.795134443021767,0.7558789412633133,0.6836734693877551,0.6169831522594867,0.6120171673819742
22,0.023,-1.6382721639824072,0.8715064486105571,0.7887323943661971,0.7529262891490035,0.6836734693877551,0.6173799401669029,0.6120171673819742
