	gene	importance
1144	eRNA_chr6_41694020_41695500_minus	0.09729038348854027
794	DEG_ENSG00000138592.13	0.036397714951628427
2	DEG_ENSG00000176076.7	0.034590784194804595
809	DEG_ENSG00000226253.1	0.03007280829783374
739	DEG_ENSG00000146859.6	0.026808420478432477
352	DEG_ENSG00000269293.2	0.026015573548061527
1455	eRNA_chr14_68097270_68113000_plus	0.023242993802692957
1296	eRNA_chr17_30401360_30416350_plus	0.02216205882931179
1640	eRNA_chr10_74167470_74167810_plus	0.021606642304420404
302	DEG_ENSG00000281969.1	0.02062526118046203
158	DEG_ENSG00000272056.1	0.02036234988566219
479	DEG_ENSG00000189060.5	0.019257951247795776
724	DEG_ENSG00000090013.10	0.0189787681599535
1536	eRNA_chr14_86087220_86088900_plus	0.018468721302229603
60	DEG_ENSG00000241868.3	0.01780809056279843
70	DEG_ENSG00000230257.2	0.017798575078353966
975	eRNA_chr10_6270120_6274350_plus	0.01777823329246013
516	DEG_ENSG00000273333.2	0.0173173975303014
295	DEG_ENSG00000167536.13	0.016812607239412185
867	DEG_ENSG00000157734.13	0.016717081061915523
1393	eRNA_chr1_51850270_51852340_minus	0.016123094252349576
1468	eRNA_chr21_44793770_44794360_minus	0.015881805454531234
145	DEG_ENSG00000273306.1	0.015862739883880685
554	DEG_ENSG00000272361.2	0.01555799788356158
1388	eRNA_chrX_19556240_19558190_minus	0.014868368568009572
403	DEG_ENSG00000134061.5	0.014837362972283805
208	DEG_ENSG00000146540.14	0.014834653446540164
1573	eRNA_chr7_92652970_92653240_minus	0.014347345241542879
700	DEG_ENSG00000168434.12	0.013845676550104151
987	eRNA_chr6_158657000_158657850_plus	0.01335118810188615
861	DEG_ENSG00000271734.1	0.013124764444017892
1377	eRNA_chr12_31720940_31722750_minus	0.012827612097890613
985	eRNA_chr5_172775050_172775580_minus	0.012461108895093735
1545	eRNA_chr9_3574670_3576870_plus	0.011905703044670547
118	DEG_ENSG00000114054.13	0.011020162064737254
1012	eRNA_chr17_77384530_77385290_plus	0.010070939300991706
574	DEG_ENSG00000048052.21	0.009757366872756289
457	DEG_ENSG00000120659.14	0.009155578744999216
1673	circRNA_chr7_75166536_75166877_minus	0.009109678635477654
1633	eRNA_chr5_14444820_14445190_plus	0.008986030990462184
1087	eRNA_chr17_3911970_3913120_minus	0.008975857243454712
1342	eRNA_chr2_25330850_25331780_minus	0.0089007920679241
1216	eRNA_chr12_98642130_98643600_minus	0.008821149687884883
65	DEG_ENSG00000272829.1	0.008660765148105215
1426	eRNA_chrX_41710310_41712590_minus	0.00857739583839118
692	DEG_ENSG00000249667.1	0.007788193059433585
643	DEG_ENSG00000173727.12	0.007788193059433585
1353	eRNA_chr12_100132870_100133910_minus	0.007788193059433585
897	eRNA_chr6_27834980_27835120_minus	0.007417326723270082
1451	eRNA_chr8_116727120_116727930_minus	0.0069228382750520755
119	DEG_ENSG00000277771.1	0.0066768106709633
571	DEG_ENSG00000254396.1	0.006051654696889018
103	DEG_ENSG00000285931.1	0.005880381450750659
1079	eRNA_chr5_89450450_89450810_plus	0.00581372467535965
294	DEG_ENSG00000167674.14	0.005147368976062419
915	eRNA_chr15_69724680_69725110_plus	0.005114377231189882
1172	eRNA_chr15_63942470_63943050_minus	0.00511100169525329
618	DEG_ENSG00000211938.2	0.005063487905506337
694	DEG_ENSG00000276704.1	0.00505937976279642
1228	eRNA_chr11_14892820_14896380_plus	0.00504790290889214
1540	eRNA_chr7_92723590_92724540_minus	0.005013354361887523
1076	eRNA_chr15_79961850_79963360_minus	0.004984443558037494
6	DEG_ENSG00000244436.2	0.004973627563426953
471	DEG_ENSG00000184900.15	0.004963961708075767
1488	eRNA_chr3_99824870_99826710_plus	0.0049152954168201705
569	DEG_ENSG00000277423.1	0.004867341315192654
1101	eRNA_chr6_24942250_24945730_plus	0.0048200855742684505
221	DEG_ENSG00000136319.11	0.0047594513140983025
1135	eRNA_chr1_149881750_149883230_minus	0.0047594513140983025
580	DEG_ENSG00000107669.17	0.004543112618002925
1208	eRNA_chr17_44114490_44115020_minus	0.004543112618002925
662	DEG_ENSG00000263956.6	0.004543112618002925
745	DEG_ENSG00000104324.15	0.004326773921907548
84	DEG_ENSG00000113719.15	0.0038940965297167927
596	DEG_ENSG00000214456.8	0.0038940965297167927
925	eRNA_chr9_136540010_136540660_plus	0.0034614191375260377
1214	eRNA_chr5_100572780_100575170_plus	0.0034614191375260377
1427	eRNA_chr8_120677370_120681780_minus	0.0034614191375260377
860	DEG_ENSG00000132155.11	0.0025960643531445283
988	eRNA_chr15_58506420_58506670_minus	0.0025699732541179425
1141	eRNA_chr3_112520540_112520800_minus	0.0
1145	eRNA_chr12_64730160_64731200_plus	0.0
1146	eRNA_chr18_62953220_62954010_plus	0.0
1134	eRNA_chr12_98636240_98636940_minus	0.0
1133	eRNA_chr11_121698830_121709560_plus	0.0
1136	eRNA_chr4_40441400_40442150_minus	0.0
1148	eRNA_chr3_72081680_72081940_minus	0.0
1137	eRNA_chr11_72740740_72740850_minus	0.0
1147	eRNA_chr9_114393520_114393650_minus	0.0
1138	eRNA_chr1_59571840_59573200_plus	0.0
1143	eRNA_chr3_155119700_155133620_plus	0.0
1142	eRNA_chr18_62950310_62951060_plus	0.0
1131	eRNA_chr9_91412820_91414280_minus	0.0
1149	eRNA_chr20_1850950_1852510_minus	0.0
1139	eRNA_chr11_114251460_114255260_plus	0.0
1140	eRNA_chr1_115056290_115056600_minus	0.0
1132	eRNA_chr22_42886490_42887990_minus	0.0
1116	eRNA_chr9_112450900_112452130_plus	0.0
1130	eRNA_chr15_63945760_63946070_minus	0.0
1094	eRNA_chr15_69766220_69775140_plus	0.0
