,Unnamed: 0,coef,host_chr,host_start,host_end,host_gene
Clin_age_at_baseline,83,1.1137533110146964,,,,
Clin_sex_int,82,0.3010056771502259,,,,
Clin_upsit_total_score,81,-6.703050629525159,,,,
DEG_ENSG00000048052,36,0.0119222621202765,chr7,18086949.0,19002416.0,HDAC9
DEG_ENSG00000090013,12,-0.370960317737974,chr19,40447765.0,40465840.0,BLVRB
DEG_ENSG00000104324,72,0.483286369203515,chr8,96645227.0,97149654.0,CPQ
DEG_ENSG00000107669,69,0.8409057263824226,chr10,121740421.0,121928801.0,ATE1
DEG_ENSG00000113719,73,-0.2024872257945033,chr5,172834275.0,172952685.0,ERGIC1
DEG_ENSG00000114054,34,-0.2686486147488307,chr3,136250306.0,136337896.0,PCCB
DEG_ENSG00000120659,37,0.2254877599627668,chr13,42562736.0,42608013.0,TNFSF11
DEG_ENSG00000132155,78,-0.4974745567225686,chr3,12583601.0,12664226.0,RAF1
DEG_ENSG00000134061,25,-0.4822070508121857,chr5,67179613.0,67196799.0,CD180
DEG_ENSG00000136319,67,0.7323249759785347,chr14,20256558.0,20305994.0,TTC5
DEG_ENSG00000138592,1,0.9505668870880428,chr15,50424380.0,50514419.0,USP8
DEG_ENSG00000146540,26,-0.270541861822287,chr7,996986.0,1138260.0,C7orf50
DEG_ENSG00000146859,4,0.1708382396065086,chr7,135148072.0,135166215.0,TMEM140
DEG_ENSG00000157734,19,-0.4144951758400342,chr15,64151715.0,64157481.0,SNX22
DEG_ENSG00000167536,18,-0.0405360027594856,chr17,28897781.0,28903071.0,DHRS13
DEG_ENSG00000167674,54,1.3432687900699458,chr19,4472287.0,4502211.0,HDGFL2
DEG_ENSG00000168434,28,-0.8154251007552544,chr16,23388493.0,23453180.0,COG7
DEG_ENSG00000173727,46,-0.1002567530616372,chr11,65455258.0,65466720.0,AP000769.1
DEG_ENSG00000176076,2,1.1525975289601065,chrX,109623700.0,109625172.0,KCNE5
DEG_ENSG00000184900,63,0.4718404859355644,chr21,44805617.0,44818779.0,SUMO3
DEG_ENSG00000189060,11,-0.9898141769972264,chr22,37805093.0,37807436.0,H1F0
DEG_ENSG00000211938,57,-0.7327669327586468,chr14,106062151.0,106062683.0,IGHV3-7
DEG_ENSG00000214456,74,-1.413357615460916,chr19,4522531.0,4535224.0,PLIN5
DEG_ENSG00000226253,3,-0.3687279967776213,chr10,74527584.0,74527947.0,MRPL35P3
DEG_ENSG00000230257,15,0.7067413545753524,chr7,102973437.0,102988856.0,NFE4
DEG_ENSG00000241868,14,0.7209150808823951,chr3,196397508.0,196397778.0,RN7SL434P
DEG_ENSG00000244436,62,-0.3558562289776671,chr12,31897820.0,31898123.0,AC023050.1
DEG_ENSG00000249667,45,-0.4091997353256523,chr4,38509767.0,38518056.0,LINC01259
DEG_ENSG00000254396,51,1.0161020765113649,chr9,27102630.0,27104728.0,AL355432.1
DEG_ENSG00000263956,71,-0.0794064417176604,chr1,148102046.0,148152322.0,NBPF11
DEG_ENSG00000269293,5,-0.989738327015407,chr6,28121795.0,28137293.0,ZSCAN16-AS1
DEG_ENSG00000271734,30,-0.0905800309243144,chr6,108030249.0,108030718.0,Z98200.1
DEG_ENSG00000272056,10,-0.4069994008551303,chr2,27053618.0,27054276.0,AC013472.3
