	pvalue_Dis	padj_Dis	log2FoldChange_Dis	baseMean_raw.Case_Dis	baseMean_raw.Control_Dis	pvalue_Rep	padj_Rep	log2FoldChange_Rep	baseMean_raw.Case_Rep	baseMean_raw.Control_Rep	Direction
chr5_10486550_10486710_plus	3.32e-06	0.003733768	0.292360881	12.24220183	9.511574074	0.0015514518695717	0.0101081204765519	0.185731206349041	8.92739726027397	7.97241379310345	1
chr1_192908170_192908280_plus	0.000606433	0.029815287	0.281711849	10.72293578	8.87037037	0.0003640141091699	0.0034802072081301	0.415339568865602	8.92054794520548	6.7264367816092	1
chr13_109258710_109259540_minus	0.000955637	0.037780133	0.278585494	195.7981651	153.3634259	0.0072980673025696	0.0327114192414934	0.220485079621041	136.168493150685	110.064367816092	1
chr16_66591170_66591300_plus	0.000110742	0.013641998	0.255481314	12.98715596	10.55787037	0.0202240215066894	0.0697763583258226	0.235855473457168	9.37945205479452	7.70114942528736	1
chr9_77956920_77957180_plus	5.26e-06	0.004122925	0.254842225	23.61834862	19.65509259	0.0007731051511103	0.0060699012693481	0.18291482085547	16.0424657534247	14.7195402298851	1
chr14_77037760_77038300_minus	4.16e-05	0.008541928	0.25251822	116.0990826	85.26851852	0.0002223562929803	0.0023965073826671	0.210617864900388	75.5931506849315	68.151724137931	1
chr18_76571910_76572040_plus	8.51e-05	0.012384894	0.247688964	11.56330275	8.99537037	0.0276467354128389	0.087706851641281	0.236482435867353	8.44794520547945	7.33333333333333	1
chr6_26174450_26174570_minus	4e-05	0.008462834	0.247108755	24.00183486	20.63425926	1.33075779976883e-05	0.0002971379015178	0.229381989337281	24.0246575342466	21.8781609195402	1
chr1_12157690_12158270_plus	6.41e-05	0.010619297	0.245854875	40.99816514	31.7337963	0.0005885511836177	0.004950865933922	0.178674897487067	34.5465753424658	31.3655172413793	1
chr20_23061640_23061870_minus	5.68e-06	0.004122925	0.244536477	42.49908257	35.45601852	3.75051545329606e-10	1.23600847881725e-07	0.308221661431144	36.1630136986301	30.0551724137931	1
chr7_102898660_102898790_minus	4.42e-06	0.004017899	0.24069952	26.73211009	21.61111111	1.61354152451995e-07	1.13536631326695e-05	0.24500541645637	20.9287671232877	18.0068965517241	1
chr15_84814680_84814810_plus	5.82e-06	0.004122925	0.23611306	10.59266055	8.62962963	0.0060695490669363	0.028431218056439	0.138699166623283	6.97945205479452	6.55402298850575	1
chr14_77038490_77038620_minus	0.000350453	0.02317289	0.23563125	27.03119266	19.99537037	0.0014719261399336	0.0097361781131027	0.195046471425304	18.7794520547945	17.0045977011494	1
chr6_27834980_27835120_minus	6.22e-05	0.010619297	0.233347485	30.1559633	26.02777778	1.03599948360621e-06	4.44586680660732e-05	0.262339515648152	22.913698630137	19.8367816091954	1
chr1_17312490_17313150_plus	2.81e-05	0.007749544	0.231527228	52.24770642	40.37962963	0.0002170216048791	0.0023483613811421	0.190022990438846	50.8630136986301	43.8551724137931	1
chr20_47728540_47728740_plus	0.000674592	0.031414487	0.228304548	15.81100917	12.75231481	0.0366219749225287	0.107540392184529	0.239537089888053	13.072602739726	10.4965517241379	1
chr1_153386790_153387090_plus	0.000116375	0.013868067	0.224341194	32.2146789	29.06481481	6.63275772331899e-08	6.08041715938767e-06	0.292607704161043	38.8602739726027	32.7471264367816	1
chr9_89383400_89383530_plus	0.000776469	0.033386849	0.223799289	10.59633028	9.631944444	4.36907232971126e-07	2.38968063243766e-05	0.312132729755724	10.3013698630137	9.19080459770115	1
chr2_63256780_63258510_plus	1.07e-05	0.005248243	0.223079905	238.2036697	188.5324074	1.10252630570739e-06	4.66261144575934e-05	0.224958737854583	177.065753424658	149.951724137931	1
chr2_101965910_101975320_plus	3.78e-06	0.003851359	0.221495125	1449.40367	1149.293981	1.89384848922929e-06	6.8671790274491e-05	0.201597090565826	1044.72191780822	914.675862068966	1
chr5_89432550_89433770_plus	1.07e-06	0.002444545	0.22083067	122.7816514	100.8680556	4.58332992664088e-12	4.65617763234167e-09	0.285239604594963	89.8671232876712	77.0229885057471	1
chr20_60055000_60055200_plus	0.000917697	0.036921812	0.219011468	18.53944954	15.80324074	0.0362751669606377	0.106919956053459	0.256570234987418	16.7547945205479	13.951724137931	1
chr7_106395460_106407690_plus	6.35e-05	0.010619297	0.218053152	1494.552294	1258.891204	8.06865256115185e-06	0.0002055453712618	0.219322516261122	1108.23424657534	982.144827586207	1
chr9_77951640_77952200_plus	1.91e-05	0.00641856	0.216754168	44.24954128	37.34027778	3.08773533242529e-08	3.48005148829838e-06	0.258165377370937	33.2958904109589	29.0620689655172	1
chr15_58505500_58505730_minus	3.67e-05	0.008386884	0.214642813	56.7559633	48.39814815	6.51440051314047e-09	1.135698360977e-06	0.275933396514271	43.7082191780822	38.416091954023	1
chr20_56463320_56463480_plus	8.68e-06	0.005055719	0.214518275	16.60550459	13.59490741	0.0001487146932151	0.00176471606101	0.194874620091768	11.1328767123288	10.3287356321839	1
chr12_10244200_10244340_plus	5.66e-05	0.010194047	0.213544737	11.44587156	9.268518519	8.1215310262269e-06	0.0002062868880661	0.234799039739626	7.98767123287671	7.08505747126437	1
chr1_21317790_21317900_minus	0.000174102	0.016441113	0.212923209	17.32477064	12.65046296	0.0421168436592766	0.119004995080233	0.0817359433274981	17.7246575342466	17.1310344827586	1
chr12_89441060_89441800_plus	0.00037725	0.023594714	0.212277537	57.30458716	49.17361111	2.59976173927517e-05	0.000483808412309	0.235630911483469	47.4301369863014	41.5471264367816	1
chr9_77960260_77960690_plus	0.000141316	0.015228159	0.212044729	43.4440367	38.02083333	3.43827752015029e-07	1.98482384117766e-05	0.267251331600474	32.4219178082192	28.4091954022988	1
